"Artist";"Album";"Song";"Year";"Label";"start";"end";"itunes";"deezer";"spotify"
"Sara Lazarus";"Give me the simple life";"I'm thru with love";2005;"Dreyfus Jazz";1711787191;1711787534;;;"https://open.spotify.com/track/2t8AtWOg9x04LD9bWxcdvF"
"Laurent Coulondre";"A Trip in Marseille";"Bahia";2022;"Paradis Improvisé";1711787534;1711787832;"https://music.apple.com/fr/album/bahia/1613671469?i=1613671594&uo=4";"https://www.deezer.com/track/2029867137";"https://open.spotify.com/track/50POp9APYn3kb4zdVXS29x"
"Eliane Elias";"Quietude";"Brigas nunca mais (no more fighting)";2022;"CANDID";1711787827;1711788028;"https://music.apple.com/fr/album/brigas-nunca-mais-no-more-fighting/1640267328?i=1640268419&uo=4";;"https://open.spotify.com/track/3gFgtzxIiaFXUX1zYKZlhI"
"Jackson Mathod";"COME ON NOW";"Brazil nut (feat. James Beckwith)";2022;"BRIDGE THE GAP X NEW SOIL";1711788027;1711788377;"https://music.apple.com/fr/album/brazil-nut-feat-james-beckwith/1660046014?i=1660046016&uo=4";;
"Leon Phal Quintet";"What are u doing ?";"What are u doing ?";2022;"HEAVENLY SWEETNESS";1711788368;1711788722;;;
"Gretchen Parlato";"The Lost And Found";"Circling";2011;"OBLIQSOUND 1";1711788720;1711789011;"https://music.apple.com/fr/album/circling/434957937?i=434958224&uo=4";;"https://open.spotify.com/track/2auHCdLOOiXQ91O7GWlPrb"
"Blossom Dearie";"Blossom Dearie Sings";"Hey John";1974;"DAFFODIL RECORDS";1711789007;1711789192;"https://music.apple.com/fr/album/hey-john/1248969644?i=1248970246&uo=4";;
"Kenny Dorham";"Jazz contrasts";"My Old Flame";1957;"RIVERSID";1711789192;1711789513;"https://music.apple.com/fr/album/my-old-flame/442599497?i=442599501&uo=4";;"https://open.spotify.com/track/59mSjtwCB2O8GfdSW7CTm3"
"Brandee Younger & Dezron Douglas";"Force majeure";"Never can say goodbye";2020;"INTERNATIONAL ANTHEM";1711789511;1711789653;;;
"Anthony Wilson";"The plan of Paris";"The plan of Paris";2022;"GOAT HILL RECORDINGS";1711789651;1711790017;;;"https://open.spotify.com/track/7gs9Kt18otPUBGgUtbhB7N"
"Charlier Sourisse Winsberg";"Le monde à l'envers";"Tu te souviens ?";2022;"GEMINI";1711790014;1711790161;;;
"Barney Wilen";"French ballads";"Sous Le Ciel De Paris";1987;"IDA RECORDS";1711790160;1711790423;;;
"Sinne Eeg";"Face the music";"New horizons";2014;"STUNT RECORDS";1711790421;1711790656;"https://music.apple.com/fr/album/new-horizons/844780100?i=844780559&uo=4";;"https://open.spotify.com/track/5mm2baC70kShpSBwsXnkRv"
"Gonzalo Rubalcaba Trio D'Ete";"Turning Point";"Joy, joie";2022;"5 Passion";1711790656;1711791020;;;
"Earl Hines";"Fatha";"Breezin' along with the breeze";2014;"Columbia Legacy";1711791020;1711791232;;"https://www.deezer.com/track/80500514";
"Mose Allison";"Sings the seventh son";"If you live";1958;"PRESTIGE";1711791231;1711791379;"https://music.apple.com/fr/album/if-you-live/519539362?i=519539736&uo=4";;
"Eddie 'Cleanhead' Vinson";"Back In Town";"Trouble in mind";1957;"CHARLY RECORDS";1711791375;1711791519;;;
"Ethan Philion";"Meditations on Mingus";"Self-portrait in three colors";2022;"SUNNYSIDE";1711791516;1711791894;;;"https://open.spotify.com/track/4sa1SOR1K1VLRSBkYAbK0X"
