"Artist";"Album";"Song";"Year";"Label";"start";"end";"deezer";"spotify";"itunes"
"Steve Swallow";"Swallow";"Thrills and spills";1992;"XTRA";1706606005;1706606251;"https://www.deezer.com/track/2801621";"https://open.spotify.com/track/6KrBxfdmT5vicxnjmCa9Ew";
"Joshua Redman";"Momentum";"Double jeopardy";2005;"WB";1706606251;1706606529;;;
"Lena Horne";"Jazz & cinéma";"Stormy weather";1957;"Sony Music";1706606526;1706606726;"https://www.deezer.com/track/2679811552";;
"Marcel Loeffler";"Around Gus";"For steph";2010;"Dreyfus Jazz";1706606725;1706606893;"https://www.deezer.com/track/141166843";"https://open.spotify.com/track/3sh5OFOjwR854A2EzZJAVq";"https://music.apple.com/fr/album/for-steph/1434548231?i=1434548233&uo=4"
"Perez Prado";"Havana, 3 A.M. / Mambo mania";"April in Portugal";1955;"BEARFAMI";1706606891;1706607056;"https://www.deezer.com/track/2140467577";;
"Bob Mintzer & WDR Big Band Cologne";"Soundscapes";"Montuno";2021;"JAZZLINE";1706607056;1706607358;;;"https://music.apple.com/fr/album/montuno/1553882274?i=1553882505&uo=4"
"Eddie Jefferson";"Still on the planet";"I got the blues";1976;"MUSE RECORDS";1706607356;1706607689;"https://www.deezer.com/track/598067952";;
"Marc Perrenoud Trio";"Nature boy";"Aegean";2016;"DOUBLE MOON RECORDS";1706607686;1706608053;"https://www.deezer.com/track/139711749";"https://open.spotify.com/track/0qLitVfebkkSvQGfF0XLL1";"https://music.apple.com/fr/album/aegean/1193689908?i=1193690022&uo=4"
"Cannonball Adderley";"Cannonball Adderley : Somethin' else";"Somethin' else";1958;"BLUE NOTE";1706608051;1706608540;"https://www.deezer.com/track/3105355";"https://open.spotify.com/track/1iXpq6uyves7dVGJ4MwGYr";"https://music.apple.com/fr/album/somethin-else/591130536?i=591130548&uo=4"
"Allan Harris";"Black bar jukebox";"A little bit scared";2015;"MEMBRAN INTERNATIONAL";1706608536;1706608779;"https://www.deezer.com/track/93326114";"https://open.spotify.com/track/6uXH31VZHnc9cz3dyiX8E7";"https://music.apple.com/fr/album/a-little-bit-scared/952127540?i=952127570&uo=4"
"Yom";"Celebration";"Longing for the beat";2021;"KOMOS";1706608779;1706609011;"https://www.deezer.com/track/1330164162";"https://open.spotify.com/track/26GeHiRhxctwQ0A99h24jK";"https://music.apple.com/fr/album/longing-for-the-beat/1562114243?i=1562115048&uo=4"
"Amina Claudine Myers";"Salutes Bessie Smith";"It makes my love come down";1980;"Leo";1706609007;1706609232;;;"https://music.apple.com/fr/album/it-makes-my-love-come-down/27166876?i=27166801&uo=4"
"Tuck And Patti";"Taking the long way home";"Lifeline";2000;"WHRE";1706609229;1706609539;;;
"Jimmy Raney";"Jimmy Raney";"Nobody else but me";1956;"VERVE";1706609535;1706609832;"https://www.deezer.com/track/4668241";"https://open.spotify.com/track/5fyZPbkMDSSr0bkvG5H7ux";
"Out Of Nola";"West coast bbq";"Wake up";2016;"ASSOCIATION LAMR";1706609832;1706610064;;"https://open.spotify.com/track/6MWHfowyfjOP15RlNwFqO4";"https://music.apple.com/fr/album/wake-up/1149350624?i=1149352190&uo=4"
"Susi Hyldgaard";"Home sweet home";"Dance with me";2002;"H MUNDI";1706610063;1706610311;;"https://open.spotify.com/track/2YbsMAuzh2NZtJSzKRrZm4";
"Johnny Hartman";"Johnny Hartman : The voice that is !";"Funny world";1994;"IMPULSE";1706610296;1706610544;;;
"Julian Lage";"Squint";"Saint rose";2021;"BLUE NOTE";1706610545;1706610818;"https://www.deezer.com/track/1394242762";"https://open.spotify.com/track/7vOCFTjPc3UrJOa0MtXk9S";"https://music.apple.com/fr/album/saint-rose/1554962478?i=1554962485&uo=4"
"Henri Texier Azur Quartet";"An indian's week";"Simone Signoret";1993;"LABELBLEU";1706610815;1706611130;;;
"22a° Halo";"Light at an angle";"Nile";2021;"PROLOG RECORDS";1706611127;1706611392;;;
"Johnny Hodges";"Johnny Hodges with Billy Strayhorn and the orchestra";"Juice a-plenty";1962;"VERVE";1706611388;1706611585;"https://www.deezer.com/track/531452481";;
"Keith Jarrett Trio";"Somewhere";"Tonight";2013;"ECM";1706611583;1706611954;;;
"Ben Sidran";"Live at the Celebrity Lounge";"Blues for the Celebrity Lounge";1997;"GO JAZZ";1706611949;1706612225;;;
