"Artist";"Album";"Song";"Year";"Label";"start";"end";"itunes";"deezer";"spotify"
"Van Morrison";"How long has this been going on";"Sack O' woe";1995;"VERVE";1712570162;1712570401;"https://music.apple.com/fr/album/sack-o-woe/1030923811?i=1030923916&uo=4";"https://www.deezer.com/track/105798198";"https://open.spotify.com/track/2CSFoCfepgd1SB3tccwNKg"
"Greg Foat";"Symphonie pacifique";"Nikinakinu";2020;"STRUT RECORDS";1712570401;1712570720;"https://music.apple.com/fr/album/nikinakinu/1503402259?i=1503402461&uo=4";"https://www.deezer.com/track/906303462";"https://open.spotify.com/track/18aSxeO6rllfxlTEzSfDOU"
"Oscar Pettiford";"Montmartre blues";"Laverne walk";1960;"BLACK LION RECORDS";1712570718;1712571032;;"https://www.deezer.com/track/88644275";
"30/70 Collective";"Elevate";"Misrepresented";2017;"RHYTHM SECTION INTERNATIONAL";1712571031;1712571291;;;
"Gary Burton";"Take Another Look - A Career Retrospective";"Las Vegas Tango";2018;"Mack Avenue";1712571287;1712571674;;"https://www.deezer.com/track/756088";"https://open.spotify.com/track/6UkwtUCdO8QHwBnwpayW4H"
"Cotonete";"Super-vilains";"Fried grease";2019;"HEAVENLY SWEETNESS";1712571672;1712572160;;;"https://open.spotify.com/track/3IYhLd4AY6yYdGbNBdtulP"
"Andy And The Bey Sisters";"June Richmond Andy Bey";"Scoubidou";1959;"EMARCY RECORDS";1712572159;1712572322;;;
"Christian McBride Big Band";"For Jimmy, Wes and Oliver";"Night Train";2020;"Mack Avenue";1712572322;1712572639;"https://music.apple.com/fr/album/night-train/1504791488?i=1504791491&uo=4";;"https://open.spotify.com/track/1X1r7BhKgFTFVGUrEUHMUq"
"Kiyoshi Sugimoto";"J Jazz : Deep Modern Jazz From Japan 1969-1984";"Long Neal";1975;"BBE";1712572635;1712573132;;"https://www.deezer.com/track/625927352";
"Emma Jean Thackray";"Ley lines";"The end";2018;"THE VINYL FACTORY";1712573131;1712573259;;;
"Donald Byrd";"Slow Drag";"Jelly Roll";1967;"BLUE NOTE";1712573253;1712573570;"https://music.apple.com/fr/album/jelly-roll/723533139?i=723533309&uo=4";;
"Thomas De Pourquery Supersonic";"Sons of love";"Mermaids";2017;"LABEL BLEU";1712573567;1712573898;;;
"Mark Murphy & Ralph Burns And His Orchestra";"The complete Decca recordings with Ralph Burns and his orchestra";"Little jazz bird";1957;"FRESH SOUND RECORDS";1712573896;1712574044;;;
"Benjamin Faugloire Project";"L";"Pianocello";2020;"JAZZ FAMILY";1712574044;1712574404;"https://music.apple.com/fr/album/pianocello/1535588669?i=1535588949&uo=4";"https://www.deezer.com/track/1106301142";"https://open.spotify.com/track/1EoOL52YU6kYkk5twpfEfq"
"The Jones Brothers";"Keepin' up with the Joneses";"Keepin' up with the joneses";1958;"VERVE";1712574400;1712574769;;"https://www.deezer.com/track/1739151857";"https://open.spotify.com/track/2GH7uvvTTVx1UgKQM3oF9F"
"Liz Green";"O devotion";"Midnight blues";2011;"PIAS";1712574767;1712574978;"https://music.apple.com/fr/album/midnight-blues/496210436?i=496210438&uo=4";;
"Martin Taylor";"Spirit of Django 1995";"Minor swing";1994;"LINN";1712574977;1712575304;"https://music.apple.com/fr/album/minor-swing/1561178770?i=1561178772&uo=4";"https://www.deezer.com/track/1251084182";
