"Artist";"Album";"Song";"Year";"Label";"start";"end";"spotify";"itunes";"deezer"
"Sebastien Surel";"Camara pop";"Aroma bom";2019;"ZAMORA";1711533598;1711533888;"https://open.spotify.com/track/4zvdOrHuCMTLupXcRNIYRG";;
"Herbie Mann";"Gagaku & beyond";"Gagaku and beyond";1976;"FINNADAR";1711533884;1711534324;;"https://music.apple.com/fr/album/gagaku-and-beyond/76149403?i=76149390&uo=4";
"Ian Shaw";"Drawn to all things";"Night in the city";2006;"LINN";1711534320;1711534566;"https://open.spotify.com/track/1mYPpGQUEFWCqXmhjsBwxi";"https://music.apple.com/fr/album/night-in-the-city/1534013342?i=1534013345&uo=4";"https://www.deezer.com/track/1092181522"
"Bud Freeman";"Chicago / Austin high school jazz in hi-fi";"Chicago";1957;"MOSAIC RECORDS";1711534565;1711534919;;;
"Bireli Lagrene";"Summertime";"Someday my prince will come";2009;"Dreyfus Jazz";1711534917;1711535201;"https://open.spotify.com/track/4x5QoVpnSdFk3rY05OrEC3";;
"Johnny Hartman (Chant)";"The complete Bee Hive sessions discs IV, V & VI";"For All We Know";;"Mosaic Records";1711535197;1711535498;"https://open.spotify.com/track/7I1h2g9r3JqECtOf3faGna";"https://music.apple.com/fr/album/for-all-we-know/79612227?i=79612181&uo=4";"https://www.deezer.com/track/110488294"
"Alfa Mist";"Structuralism";"Mulago";2019;"SEKITO";1711535498;1711535743;"https://open.spotify.com/track/5TAsKm10VQoQuYW0fnqnsP";"https://music.apple.com/fr/album/mulago/1453181932?i=1453182244&uo=4";
"Dizzy Reece";"Blues in trinity";"Blues in trinity";1958;"BLUE NOTE";1711535739;1711536143;;"https://music.apple.com/fr/album/blues-in-trinity-remastered/1357298626?i=1357298636&uo=4";"https://www.deezer.com/track/1428489532"
"Carla Cook";"Dem bones";"Better than anything";2001;"NEXT MUSIC";1711536141;1711536429;"https://open.spotify.com/track/2WuBGMwitjlGDpPal9XR3L";"https://music.apple.com/fr/album/better-than-anything/1085150942?i=1085151439&uo=4";
"Grover Washington Jr.";"A secret place / All the king's horses";"Where is the love";1972;"MOTOWN";1711536426;1711536730;;;
