Francoiz Breut - Lichens
Carlton Jumel Smith - This is what love looks like !
Monk Higgins - Railroad
Dan Wilson - Let your soul be your pilot
The Islanders - King of the surf
The Mannish Boys - It was fun
Shawn Lee's Ping Pong Orchestra - My favorite things
Oum Shatt - Sure cure
Metronomy - The bay
Papooz - Danger to myself
L'Osmose - B. Leclerc
Moonchild - The truth (Acoustic)
Melissa Laveaux - Simalo
Flavia Coelho - Billy django
Motion Trio - Plage 1
Gotan Project - Tango canción
Sainte Lucie - Je bois une pierre amère
Teebs - Threads (feat.Anna Wise)
Joan Armatrading - Like fire
Khruangbin - Juegos y nubes
Delroy Wilson - Inner city blues
Sound Providers - For old time's sake
BadBadNotGood - Stark's reality
The Banjo Lounge 4 - Mundian to bach ke
The Beatles - Tomorrow never knows
Francois Atlas - A Une Passante
Le Superhomard - Overflight
Vesselina Kasarova - Orfeo ed Euridice : che faro senza Euridice (acte III) air d'Orfeo
Billie Holiday - Glad to be unhappy
Skinshape & Pedro Mizutani - Eu pensei (instrumental)
Kings Of Convenience - Freedom and its owner
Feist - When I Was A Young Girl
Frank Leone - Falling in (ft. Hrlum)
Radiohead - Where I end and you begin. (the sky is falling in.)
Gabor Szabo - Look of love
Line Renaud - Caravane dans la nuit
Meridian Brothers - En el caribe estoy triste
Vampire Weekend - California English
"Quincy Jones - Britannia & mr bridger, if you please"
The Jackson 5 - I'll be there
Manuela - Supermarket
Kate Bush - Fell it
Joe Hisaishi - L'époque Du Vent
Allysha Joy - Stay
Roseaux - More than material
Blick Bassy - Nop
The Durutti Column - Jacqueline
The Police - Bring on the night
Mamama - Message à toi même
Crumb - Amama
Kraak & Smaak - Pleasure centre
Gorillaz - Last living souls
Busdriver - Imaginary places
Deodato - Also sprach Zarathustra
King Harvest - Dancing in the moonlight
Junius Meyvant - Lay your head
Bonnie Banane - Sacha
Da Lata - Beija Flor
Lau Ro - Assim
Devendra Banhart - I feel just like a child
Placebo - Aria
Mack Rice - Three People In Love
Catastrophe - Bruce Lee
Kelpe - When it turns
Kavinsky - Nightcall
Maria Chiara Argiro - Koala
Mazzy Star - Blue light
"Ry Cooder (Compositeur) - Paris Texas : Paris, Texas"
Billie Eilish - Skinny
Curtis Mayfield - Right on for the darkness
The Philly Armada Orchestra - For the love of money
Nico Gomez And His Afro Percussion Inc. - Lupita
Dario Moreno - Quand elle danse
Habibi - My moon
Vanishing Twin - The conservation of energy
Arooj Aftab - Autumn leaves (feat. James Francies)
Syd Dale - Solo theme
Nancy Holloway - Dernier baiser
The Zombies - Summertime
Lee Perry - 100lbs of Summer
Liam Bailey - When will they learn
The Oscillators - Let's get there
Herman Kelly - Dance to the drummer's beat
Prince - Sexy dancer
Juan Rozoff - Mezkla'o (chanson de chenil)
Wet Enough!? - Hi pilot !
Jimi Tenor - Love is the language
Céu - Reescreve
The Eagles - Victim of love
The Allman Brothers Band - In Memory of Elizabeth reed
Joni Mitchell - The dry cleaner from des moines
Aquaserge - C'est pas tout mais
Red Hot Chili Peppers - Aeroplane
Guts - Want it back (radio edit)
Jay-Z - Hard knock life (ghetto anthem)
Daniel Villarreal - 18th & Morgan
Yin Yin - Komori Uta
Mac Demarco - 20191216
Henri Salvador - Siffler en travaillant
Charles Stepney - No credit for this
Marcus King - F*ck my life up again
Rahill - Hesitations
Khruangbin - Three from two
Buena Vista Social Club - Chan chan
Bernard Lavilliers - Guitar song
Jessica Pratt (Compositeur) - Get your head out
Wes Montgomery - Without you
Carmen McRae - At long last love
Buddy Guy - A poor man's plea
Slash - Crossroad blues (feat. Gary Clark Jr)
Black Brothers - Saman doye
Karate Boogaloo - All aboard
Sirens Of Lesbos - 8 billion (feat. Bootsy Collins)
Bolis Pupul - Ma tau wai road (with Salah Pupul)
Cousin Kula - Poisoned
Stefano Di Battista - Roma nun fa' la stupida stasera
Filippo Vignato - Wind dance
Albert Mangelsdorff - Marc sutterlyn's boogie
Pinetop Perkins - Pinetop's boogie woogie
Fergus Quill Trio - Who shot pinetop
Lee Morgan - Fire
Wadada Leo Smith & Amina Claudine Myers - The harlem meer
Dizzy Gillespie - Matrix
Showa And Mafia - Deus me faca funky
Musica De Selvagem - Morto (feat. Tim Bernardes)
Yaron Herman - Rebirth
Tribe From The Ashes - Ashes
One Another Orchestra - Standing rock 2016
Don Pullen - The eagle is first
Dj Fitchie & Joe Dukie - Midnight marauders
mui zyu - Everything to die for
Big Boss Man - Das freak
Clair - La joie
Jordan Rakei - Trust
Nubiyan Twist - Slow breath (feat. Mamani Keita)
Enrico Pieranunzi - Funkarolle (feat. Gabriele Mirabassi)
Fats Domino - Lady Madonna
Francoiz Breut - Crever l'asphalte
Bill Withers - Lovely day
Ruti - Bubblehouse bounce
Trond Kallevag - Amerikalinjen
Toco - Clube
The Pale Fountains - Southbound excursion
The Mamas & The Papas - Dream a little dream of me
Thomas Albertus Irnberger - Danse slave en mi min op 46 n°2 B 78 n°2 : Allegretto melanconico - arrangement pour violon et piano
Barbara - Bref
The Specials - The lunatics
Sin Sisamouth - Mou pei na
El Comité - Carrousel (feat. Ibrahim Maalouf)
Tara Lily - 6 feet down (feat. Theo Crocker)
Nini Raviolette - Suis-je normale
Helado Negro - Out there
Moondog - Dog trot
Jona Lewie - Stop the cavalry
Olivia Dean - UFO
Lily Chao - Tea-plucking and catching Butterflies
Bo:Persepolis - Persépolis thème
Hugues Pluviose - La promesse (avec Dominique A)
Portishead - The rip
Pape & Cheikh - Yaay
BDF - South east london skank
David Bowie - Sound and vision
Brainstory - Hanging on
Katerine - Y a d'la rumba dans l'air
Bill Withers - Lovely day
Web Web - Meskel flowers (feat. Mulatu Astatke)
Miira - XX99
Great Area - Pest
Bill Withers - Lovely day
Bumcello - Booker
Remi Masunaga & David Patrois - Aria con bow
Hibari Misora - Futari no hitomi
The Doors - Alabama song (Whisky bar)
Fotis Siotas - Skouria kai meli
"Boom Bip & Doseone - """"""""Art saved my life"""""""" - 71"
Kerry Leimer - Almost chinese
Taxi Girl - Petit jardin chinois
March Mallow - Dreaming love
Harold Melvin & The Blue Notes - Satisfaction guaranteed
Mario Rui Silva - Dembita
Bash Barrow - Tous les jours
Thundercat - Them changes
Jeanette - Cria cuervos : Porque te vas
Ask Carol - Desert
Henri Texier - He was just shining
Carlos Gardel - Adios muchachos
Lloretta Lynn And Conway Twitty - You're the reason our kids are ugly
Marvin Gaye - Pretty little baby
Dog Park - Time
Forever Pavot &xp - The turkey bag diaries (instrumental)
Marcus King - F*ck my life up again
Seafood Sam - Lynn’s lullaby (interlude)
Minoru Muraoka - The house of the rising sun
Bongmaster Inc - Brothers & Sisters
Pink Turtle - Isn't she lovely
Shirley Horn - Wild is love
Isabelle Aubret - Au bois de mon coeur
Alexandra Savior - Soft currents
Aurelia Visovan - Sonate pour piano nº14 en ut min K 457 : 3. Allegro assai - version pour pianoforte et violoncelle - arrangement pour pianoforte et violoncelle
Joanne Mciver & Christophe Sauniere - Malcolm
Renee - Lay me down
Helen Island - The mirror dance
Maxime Le Forestier - Né quelque part
Hailu Mergia - Shilela
The Gladiators - Naturality
Arthur Conley - Hand and glove
Don Gibson - Didn't work out did it
Sixto Rodriguez - This is not a song
Marc Morvan - Act V - Scene II : Battlefield
"Helen Traubel - Oh, what a beautiful mornin'"
Marie Laforet - Les vendanges de l'amour
Sofie Royer - Schweden espresso
Elton John - Don't go breaking my heart
Azymuth - Dear limmertz
Yaya Bey - Chrysanthemums
Who Parked The Car - Peppo
Anita O Day - I want to sing a song
Tito Puente - El cayuco
Los Walkers - Siboney
Y La Bamba - Michoacan
Static King - Waiting for something
Norma Tanega - I'm Dreamin' a Dream
Art Tatum - Cocktails for two
Orchestre National De Lille - Mon bel inconnu : O mon bel inconnu (Trio Marie-Anne Antoinette Félicie)
Minnie Riperton - I'm In Love Again
Nubiyan Twist - Woman
Freddie Joachim - River
Baxter Dury - Claire
Blur - Out of time
Myrna Hague - What about me
The Lijadu Sisters - Amebo
Art Jerry Miller - Finger lickin' good
Eddy Mitchell - Chain Gang
Charley Crockett - After laughter
Lion In Bed - The river bed is queen size
Reinel Bakole - Don¿t forget! / Floating woman
Omni - American african (instrumental)
Melodica Teens Band - Mwekuru muthao
Los Invasores - El raton
Aimee Mann - Robert Lowell and Sylvia Plath
Hans Posegga - Der seewolf : Ozean-melodie
Frankie Laine - Don't make my baby blue
Robert Mitchum - You deserve each other
Lisa Leblanc - Juste parce que j'peux
Mac Demarco - Finally alone
Mndsgn - Finally alone
Blanka - Remorses
Erik Truffaz - Friendly fire
Buckshot Lefonque - Music evolution
Chiyo Okumura - Koi gurui
Glass Beams - Mirage
Dana Gavanski - Reiteration
Bernard Chabert - Il part en californie (He moved to california)
The Kinks - This time tomorrow
Andrew Alli - Walters Sun
Ben Harper - Like a king
Terry Callier - Lean on me
Charlotte Day Wilson - I don't love you
Lianne La Havas - Baltimore
Sababa 5 - Nasnusa (feat. Yurika)
Donovan - Trudi
Beck - Star
Lil Armstrong And Her Swing Orchestra - Oriental swing
Orchestre Symphonique D Etat De Russie - Scènes de ballet en La Maj op 52 : Danse orientale - suite pour orchestre
MC Solaar - Caroline
DJ Cam - The first date
The Shangri Las - Sophisticated boom-boom
The Soul Sister - Another Night
Air - Californie
Koralle - New levels (feat. Illa J)
Conjunto Media Luna - Bogotokio (feat. Muupy & Hydro as BNJ)
Sages Comme Des Sauvages - Répare ou pas
Los Bitchos - Good to go !
Penny Arcade - Jona
Eels - Your lucky day in hell
Piero Umiliani - La fille à la peau de lune : Pelle di luna
Bill Withers - Use me
Bobby Womack - Stupid
Little Brother Montgomery With Jeanne Carroll - London shout
Serge Gainsbourg - Rock around the bunker
Anohni & the Johnsons - It's my fault
Céu - Gerando na alta
"The Slits - Spend, spend, spend (dub version)"
Cosmo Sheldrake - Stop the music
Dekker - Supposed to be a friend
Neil Young - Only love can break your heart
Calexico - Gypsy's curse
Luther Ingram - Oh baby don't you weep
Amy Winehouse - Mr Magic (Through the smoke)
Morcheeba - Blood Like Lemonade - Radio Edit
Pedro Ibanez - Suite populaire bresilienne : Mazurka-choro / Pour guitare
Gatien - On nous ment
Liam Bailey - Light up the darkness
Patrick Watson - Height of the feeling
Diabi - Peach III
The Temptations - Cloud nine
Solange - Junie
Postman - Other side
Loving - The light in you
Jacky Terrasson - Misty (NYC Take)
Melkoni Project - Sodade
Yoshiko Sai - Aoi galasu dama (blue glass ball)
Duo Brothers - Cream and sugar
Amp Fiddler - Be alright
George Michael - Faith
Francoiz Breut - Crever l 'asphalte
Molly Lewis - Lounge lizard
Klaus Johann Grobe - Try
Balthazar - Wrong faces
The Mike Flowers Pops - Wonderwall
Generation Django - Minor swing
Otis Stacks - Little pretty
Aloe Blacc - Green lights
Voyou - Dans la maison vide
Billa Qause - I walk alone
"Mos Def - Sun, moon, stars"
Moriah Plaza - Estelar
Jeff Parker - Beanstalk
Lieven - Spitsuur
Gilbert O' Sullivan - Too much attention
The Jackson 5 - Ready or not (Here I come)
Le Roi Angus - Rien ne se cache dans la lumière
Beastie Boys - Lighten up
The McCoys - Fever
Beno - Headaches (Feat. Tal)
Philippe Cohen Solal - Homesick Melody (feat. Sarah Manesse)
Akagera - Sancocho
Elysian Fields - This world is just a world
Bastien Lallemant & Elisabeth Spettro - Jeune
Orchestre Symphonique De Montreal - L'Aiglon : Oui j'ai brisé l'orgueil de cet enfant rebelle (Acte III) Metternich le Duc Sedlinsky Fanny Flambeau Gentz
Philippe Sarde - La grande bouffe
Father'S Children - I really really love you
Dr Buzzard S Original Savannah Band - Sunshower
The Hindus - Theme of etiquette
Roy Orbison - Working for the man
Devo - Working in a coal mine
Isabelle Antena - Time to work
Gren Seme - Le travail
Brother Jack Mac Duff - Whistle While You Work
Vampire Weekend - Pravda
Faye Webster - He loves me yeah !
The Lions - Picture on the wall (pink dub)
