SOUNDIIZ
The Texas Gentlemen - Trading paint
Allah-Las - Ela Navega
Trampled By Turtles - Burlesque desert window
ZACHARY RICHARD - La ballade de DL-8-153
Yamasuki - Yama yama
Bacao Rhythm & Steel Band - Love for the sake of dub
King Krab - The roof
Jones - Wbtfy
Urban Species - Listen (feat. MC Soolar)
Manuel De Sica - Le temps des amants  (film)
Mario Carbotta - Maurer-gesange : Zur freude / Pour soli choeur d'hommes flute traversiere et guitare
Merryn Jeann - Am I plastic ?
Hermanos Gutierrez - Los chicos tristes
Laufey - Dreamer
Joanie Sommers - Quiet nights (corcovado)
Elvis Presley & Mark Ronson - Can't help falling in love
Funk Inc - Kool is back (edit)
Mr Scruff - Midnight feast
Manu Chao - São Paulo motoboy
Pino D'Angio - Perdoni tenente
Steve Hiett - Dancing in july
Angelo De Augustine - Time
Haim - Summer girl
Pierre Barouh - Parenthèse
Joel Versavaud - 6 suites BWV 1007 à 1012 : Suite n°1 en Sol Maj BWV 1007 : Prélude - arrangement pour saxophone baryton
Alabaster DePlume - Mrs Calamari
Billy Paul - Me and Mrs Jones
Howard Shore - Mrs Doubtfire : Meeting mrs Doubtfire
Cesaria Evora - Areia de salamansa
Forest Law - Balm
Max Roach - January V
Francoiz Breut - Je ne veux pas quitter
Digable Planets - Graffiti
Vulfmon - Got to be mine
Mungo'S Hi-Fi - Miracle cure
Odyssey Steel Orchestra - Rum & Coca Cola
Miriam Makeba - Maduna
Ibeyi - Away away
BadBadNotGood - Take Me With You
Squid - G.S.K.
"Jacques Dutronc - On nous cache tout, on nous dit rien"
Nabihah Iqbal - This world couldn’t see us
Julian Lage - Nothing happens here
Elliott Smith - Sweet Adeline
Gal Costa - Baby
Quatuor Debussy - Escualo
Four Tops - Ain't no woman (Like the one i've got)
Vince Staples - Freeman
Gorillaz - To binge
Charles Stepney - Step on step
Petit Fantome - Je respecte ça
Anoushka Shankar - Land of gold (feat. Alev Lenz)
Margo Guryan - Don't go away
Chic - Savoir faire
Parcels - Famous
Rubel - Amor de mãe
Mac Demarco - 20210709
Sunshade - Plaisir soleil terre
Evie Sands - You can do it
Faith D Aguilar - Breaking up
Herbie Mann - New Orleans
Barefoot Jerry - Message
Pink Floyd - Paintbox
La Luz - Poppies
Kris Kristofferson - The silver tongued devil and I
Robohands - Moments
Hiatus Kaiyote - Dimitri
De La Soul - All good ?
Clea Vincent - Douce chavirée
Afia Mala - Koma
Wally Badarou - Waltz
The Style Council - The Paris match (feat. Tracey Thorn)
Tony Bennett - I left my heart in San Francisco
Felicity Lott - Reverie
Harrison - Music box
Manila Haze - I keep my tears
Bibi Club - Nico
Tracy Chapman - Talkin' bout a revolution
Stonewall Jackson - The house of bottles and cans
Daniela Casa - Big sur
Blick Bassy - Wap do wap
Simon Nwambeben - Awa
Little Joe & La Familia - Red robe
Francoise Hardy - Per tanto tempo
The Meters - Zony mash
Thee Sinseers - Keep on calling
Nina Simone - Trouble in mind
Fenyan - An nou palé (feat. Samantha Lavital)
Josseline Varane - Voyou
"L.G. Mair, Jr. - Winefride LIV"
Ivan - Fotonovela
Los Yolos - Estrella
Alberta - Juste tous les deux
Niagara - Pendant que les champs brûlent
Gnarls Barkley - Who Cares ?
Pharrell - Frontin' ( feat. jay-z)
Shelly Manne - Hava nagila (Come let's be happy)
Celia Cruz - Hava nagila
Clifford David - One day we dance
Emiliana Torrini - Let's keep dancing
Ezechiel Pailhes - Piccolo
Camelia Jordana - Moi c'est
The Bees - Stand
The Beatles - Tell me what you see
Anders Danman - Suite n°1 en Sol Maj : Musettes I et II (Norwegian wood/This bird has flown/The fool on the hill)
Quantic - Run (feat. Andreya Triana)
Roge - Mistério da raça
Chris Cohen - Damage
David McCallum - The edge
