Quatuor Debussy - Chador
Orlane Paquin - Tangomanie
Stevie Wonder - We can work it out
Tosca - Harry dean (Mato version)
Quiet Dawn - Follow your instincts (feat. Oliver Night)
Bjork - Play dead
Juana Molina - Río seco
Seb Martel - Lune
Delmore Brothers - Blues stay away from me
The Shadows - The rise and fall of flingel bunt
Ziska Staubli - Progress not perfection
Angelo Outlaw - Free my mind
De La Soul - Keepin' the faith
The Bongo Hop - Clouds [instrumental]
Manuel Laisne - Raisonnable
Mel Torme - Happy together
Takuya Kuroda - Do no why
Johanni Curtet - Theme of hope - Studying physics
Joni Mitchell - California
Neil Frances - Finding rhythm (feat. Grae)
Lord$ - Everybody knows
Shabaka - As the planets and the stars collapse
Jane Birkin - Di doo dah
Allison Russell - The Returner
Transmission Towers - Affirmation of love
Sufjan Stevens - Reflexion
Zdravko Colic - Mujo kuje konja po mjesecu
Barbara Lewis - Windmills of your mind
Natacha Atlas - Nafourat El Anwar
LA Priest - Peace Lily
Voyou - D'amour et d'insouciance (edit radio)
Issy Wood - Back Burner
Gorillaz - 19-2000 (soulchild mix)
Enoch Light - I'm in the mood for love
Alexis Evans - She took me back
Melodiesinfonie - Goodbye
Lil Yachty - Drive me crazy!
Karate Boogaloo - All aboard
Sebastien Tellier - Look
Max Darmon - L'itinérante
Balthazar - Halfway
Martinas And His Music - Quiet village
Santana - She's not there
The Harlem Gospel Travelers - Help me to understand
Jessica Pratt - Empires never know
Brisebard - Cumulus
Malik Djoudi - Point sensible (Feat. Lala &ce)
Mk.Gee - Are you looking up
Kelley Stoltz - Feather falling
Mork - Astral visions
The Joubert Singers - Stand on the word
Eels - My timing is off
Morcheeba - Public displays of affection
Yasmin Williams - Dragonfly
Petula Clark - Que voulez-vous de plus
Hank Williams - Your cheatin' heart
Nick Cave - Back to Black : Song for amy (reprise)
Amy Winehouse - Don't go to strangers (live)
Fugees - Family business
Da Grynch - Pass da kouchie instrumental
Marino Marini - Cocaine Bill
Donna Blue - Aphrodite
Aphrodite's Child - The beast
Hans Posegga - Der seewolf : Roheit und gewalt
Daven-Keller - Cigarette
Ned Doheny - To prove my love
Nubiyan Twist - Reach my soul
Abdullah Ibrahim - Third line samba
Sergio Mendes Et Brasil 66 - Constant rain (Chove chuva)
The Doors - Indian summer
Loving - Medicine
Paco De Lucia - Fiesta en Moguer (Fandangos)
Rosalia - Bulerias
Bonnie Banane - Toi ou Moi ? (Sacha II)
Liz Phair - Supernova
Les Vikings - Puchi's boogaloo
The Pioneers - Papa was a rolling stone
Thundercat - A fan's mail (Tron song suite II)
Estere - Reptilian journey (Jordan Rakei Remix)
Les Paul And Mary Ford - Chicken reel
Blue Stars - Mister l'amour (mister sandman)
Little Simz - Miss understood
Yaya Bey - I love you Frankie Beverly
Steve Hiett - The next time
Leon Lowman - Morning song
Flavien Berger - Plongereuse
Project Gemini - Seven seconds to sunrise
Massive Attack - Paradise Circus
Nina Simone - See-Line woman
Msaki & Tubatsi - Subaleka
Mamadou Diabate - Birigo blues
Led Zeppelin - That's the way
Michael Dues - Goodbye rainbow
Kinobe - Slip into something more comfortable
Fatboy Slim - North west three
John And Beverley Martyn - Primrose Hill
Seafood Sam - When I met Rose
The Simon Park Orchestra - Dawn to Dusk
Revue Blanche - 6 Poèmes de Paul Eluard : 6. Tout disparut - arrangement pour soprano flûte traversière alto et harpe
James Brown - I got you (I feel good)
The Meters - Africa
Shay Hazan - Oladipo
La Luz - Close your eyes
Damaged Bug - Very
