Pavane - La Mer
Bas Jan - No more swamp
Jacqueline Taieb - Qu'est-ce que je peux faire
Pale Jay - By the lake
Quilapayun - De mille murmures - pour violon et piano
Takashi Nishioka - Man-in no ki
Jimi Hendrix - Castles made of sand
Blonde Redhead - Melody experiment
Poly Poly - Horizon
Jose James - Didn't cha know (feat. Ebban Dorsey)
Maggie Rogers - Alaska
Keyon Harrold - Beautiful day (feat. PJ Morton)
Pyjæn - Is that it?
Romano Bianchi - Honest I do
Kassa Overalls - Make my way back home
Balm - Catch me
David Byrne - Depp water
Delia Meshlir - My only child
Rikki Ililonga - Love is the only way
The Beatles - Tomorrow never knows
Ananda Shankar - The river
A S Kang - Terian gulabi buliyan
Magdalena Kozena - Cruda amarilli - pour mezzo-soprano et basse continue
Bill Ryder-Jones - I know that it’s like this (baby)
Os Tatuis - Insensatez
M0nf0rt - Tonight (feat. Emcee Agora)
Nicaragua - Breathe
Kathleen Emery - Sometimes I feel like a motherless child
"Cry Babies - Blás, blás, blás soul"
"Marc Gauvin - Mi-homme, mi-chewing-gum"
Strawberry Alarm Clock - Incense and peppermints
Les Chaussettes Noires - Peppermint twist
Bo/The Adventurers - Go down dying
Becca Mancari - I had a dream
Joel Culpepper - It's just a broken heart
Bacao Rhythm & Steel Band - Space
The Mighty Mocambos - Here we go (feat. Mocambo kidz)
Jungle - Problemz
Jay-Jay Johanson - The girl I love is gone
Laurence Vanay - Demain
Rhoda Scott - Moanin'
Big Brother & The Holding Company - Light is faster than sound
CVC - Anogo / Tarn
Black Sea Dahu - Make the seasons change
Ryuichi Sakamoto - Saru no ie
Grupo Canalon De Timbiqui - La Juana / Jeanne
Lalito Y Conjunto Colombia - Flores de Colombia
Gabi Hartmann - Maladie d'amour
The Fearless Flyers - Kauai
Van Morrison - Call me up in dreamland
Jamie Cullum - These are the days
"Alban Claudin (Compositeur, Piano) - Never ending"
Katy Kirby - Blue raspberry
Alain Bashung - Malaxe
Carolina Chocolate Drops - Peace behind the bridge
Nas - On the road again
Roforofo Jazz - From here to benin
The Meters - Africa
Thomas Laffont Group - Don't worry be happy
Les Surfs - Pour une rose
The Nat King Cole Trio - Lulubelle
Me And My Friend - Underneath your rug
Quintette A Vent De Weimar - Quintette à vent en sol min op 56 n°2 : Allegretto
"The Mamas & The Papas - Monday, monday"
Mary Roos - Blauer montag
Pat Lundi - Party music
Joe Yorke - Dreaming
Weekend Affair - Juste un rêve
Mac Demarco - 20221217 2
Steely Dan - Babylon sisters
2024 - 2024
The Polyphonic Spree - Section 46 (give me everything)
Maria Bethania - A felicidade
Ensemble Forde - Double quatuor à cordes nº1 en ré min op 65 : 3 - larghetto
"Dinah Washington - That sunday, that summer"
Curtis Mayfield - Blue monday people
Danger Mouse - Roman blue
Jean Louis Murat - Le train bleu
Rahill - Hesitations
J Dilla - Think twice (Instrumental)
Roy Hargrove - Crazy race
Ana Frango Eletrico - Insista em mim
BadBadNotGood - Gunshowers (Instrumental)
Red Hot Chili Peppers - Californication
Kadhja Bonet - Dear Gina
Gigi Masin - Tears of clown
Future Islands - Sun in the morning
Lescop - Radio
Eduardo Cruz - Radio station
Radiohead - Exit music (for a film)
Celestine Ukwu And His Philosophers National - Ilo abu chi
Fabiana Striffler - Chant of the earth
Claude Nougaro - Sensuel
Lana Del Rey - Peppers (feat. Tommy Genesis)
The Peppers - Bringing It Down
Handsome Boy Modeling School - The truth (feat. Roisin Murphy)
Feist - Gatekeeper (Full Mix)
Anne Queffelec - Six gnossiennes : N°5 modéré
Cecile McLorin Salvant - Doudou
Tabu Ley Rochereau - Mireille Mwana
Yasmin Williams - Dragonfly
The Smashing Pumpkins - Cupid de locke
Sampha - Indecision
Silvan Strauss - Shades
Fenyan - Sav (feat. J0y!)
"Funkadelic - You and your folks, me and my folks"
Amp Fiddler - You could be mine
Moodymann - Black mahogani
Dakota Staton - Summertime
Sylvia Schwartz - 6 canciones castellanas : Como quieres que adivine - pour soprano et piano
Brigitte Fontaine - Il se passe des choses
Maple Glider - Two years
Biche - Mon morceau préféré
Ibrahim Hesnawi - Enti
Fadela - Mahlali Noum (Insomnia)
Rachid Taha - Laisse-moi
Felt - Serpent shade
Falco - Der Kommissar
Abracadabra - in a photo
Cola Boyy - Kid born in space
Don Brown - Shut the door
Manu Dibango - Gombo sauce
Sabela - Africa
Delgres - Lese mwen ale
Led Zeppelin - Whole lotta love
Jeff Beck - Head for backstage pass
"Jamiroquai - Whatever it is, I just can't stop"
Louis Cole - Park your car on my face
Nusantara Beat - Layung
Mat Vezio - Marjorie Kelly
Jian Wang - Pieces en concert transcriptions pour violoncelle et quatuor a cordes : I. Prelude. Gravement
Pinkpantheress - Nineteen
Miki Hirayama - Tsukikage no nagisa
The Police - Walking On the Moon
Felbm - Memoirists
Burnier & Cartier - Mirandolina
Thierry Maillard Trio - Ces quelques notes (feat. Philippe Gaillot)
AL COHN - IMPROVISATION FOR UNACCOMPANIED SAXOPHONES
"Caetano Veloso (Compositeur, Chant) - A little more blue"
ENRIQUE VILLEGAS - ENRIQUE VILLEGAS / YESTERDAYS
LANA CANTRELL - LANA CANTRELL / GENTLE ON MY MIND
LALO SCHIFRIN - LALO SCHIFRIN / LAST OF THE INDEPENDENTS
MARIAN McPARTLAND - MARIAN McPARTLAND / A SECRET
BROOK BENTON - BROOK BENTON / BLUE MOON
THE DAVE BRUBECK QUARTET - THE DAVE BRUBECK QUARTET / KOTO SONG
Minoru Muraoka - Take five
