Erobique - Acquamarina
Shuya Okino - Still in love (feat. Navasha Daya)
Yamagata Sumiko - To summer light
Luiz Bonfa - Bonfa nova
Henri Salvador - Dans mon Ile
Harry Nilsson - Everybody's talkin'
Question Mark & The Mysterians - I need somebody
Doris Duke - How was i to know you cared
Jones - Darkest part
Parental - Screens (Revisit OST)
Melissa Laveaux - Dew breaker
Piers Faccini - Sons and daughters
Nat Myers - Trixin’
The Classics - Pack up
The Dining Rooms - Pure & easy
Kraftwerk - Tour de France
Madness - Riding on my bike
The Magnetic Fields - I want to Join a biker gang
John Gregory - Jaguar
Bob Marley - Who is Mr Brown
Frank Leone - Falling in (ft. Hrlum)
Aaron Frazer - The fool
Emahoy Tsege Mariam Gebru - The home of Beethoven
Albin De La Simone - La fuite
Duke Pearson - Cristo redentor
Umalali - Luwuburi sigala
Penguin Cafe Orchestra - Air a danser
Eels - And you run
The Velvet Underground - Stephanie says
Chet Faker - So long so lonely
Messer Chups - Love is a magical thing
Warren Smith - Black jack David
Irnini Mons - Toi là
Ki! - Happy (feat. Steffen Westmark)
Otis Redding - Security
Fania All Stars - Smoke
Grupo Magnetico - Hermanos latinos
Eda Diaz - Por si las mocas
Cassandra Jenkins - Clams casino
Danger Mouse - The matador has fallen
The Doors - Light my fire
Citron Citron - Le feu marche avec toi
Ilya Gringolts - L'oiseau de feu : Scherzo - arrangement pour violon et piano
Chet Baker - I get along without you very well
Nina Simone - Feeling good
Twit One - Fab
Angelo Outlaw - Diamonds
Eamon - Burn it up
Wu Tang Clan - C.r.e.a.m.
The Supremes - Money (That's What I Want)
Les Gammas - Servus mr. Bond (Sao Delhi Tandoorinha mix)
Katerine - Bonjour!
King Pari - Better the devil
Mild High Club - Rollercoaster baby
Bo/Get Carter - Get carter
The Brothers Four - Revolution
Norah Jones - Tell yer mama
Colour - Deeper
The Meters - Rigor mortis
Brainstory - Gift of life
Baxter Dury - Aylesbury boy
Duo Ouro Negro - Pata pata
Savana Funk & Gaudi - Koola Lobitos
Oum - Lik
Jessica Pratt - Life is
Eyes Of Others - Jargon Jones and Jones
Glenn Fallows & Mark Treffel - Remember empathy
Joan Baez - Love is just a four-letter word
Tamasene - Something better
Camelia Jordana - Some say
Ester Fusar Poli - Tutti ebbri op 90 - pour piano
Voyou - Le bal (feat. Vanessa Paradis)
Ezra Collective - God gave me feet for dancing (feat. Yazmin Lacey)
Brijean - Roller coaster
Camion Bazar - L.A.L.Y
The Animals - Don't bring me down
A.M. Son - Mystic night
Jeff Mailfert - Waiting for the sun (radio edit)
Saigon Soul Revival - Ai that long yeu ai (Instrumental)
The Ronettes - Be my baby
Barbara Lewis - Baby that's a no no
MNNQNS - Material Girl
Satellite Jockey - Moonlight walk
Sunshade - Plaisir soleil terre
J. Bernardt - I'm the ghost you forgot
Donovan - Bert's blues
Polaris - Polaris
Arjuna Oakes - Motel
Inna De Yard - Down the street
Djelimady Tounkara - Senelalou
Pierre Barouh - Le divorcement : Lucia
Souad Massi - Dessine-moi un pays
Les Innocents - Colore
Mary Lou Williams - Miss DD
Hailu Mergia - Lala belu
Superjazzclub - Off
Astrig Siranossian - Soul bossa nova - arrangement pour violoncelle et piano
Randy Newman - A few words in defense of our country
Aretha Franklin - Night time is the right time
Allen Toussaint - Sweetie pie (twenty years later)
Beak - Strawberry line
The Beatles - Strawberry fields forever
