Mork - Astral visions
Francoiz Breut - Ode aux vers
Juana Molina - Sin dones
Laurent Bardainne & Tigre D’eau Douce - Eden
Brigitte - J'sais pas
Marvin Gaye - Sexual healing
Lonnie Liston Smith - Free and easy (album version)
Alice Coltrane - Sivaya
George Harrison - Mãya love
Steve Winwood - Different light
Delvon Lamarr Organ Trio - Careless Whisper
Tuerie - Juste pour nous
Reyna Tropical - Suavecito
Baron Retif & Concepcion Perez - Italien chaussettes lin
Tamtam - Go down the mountain
Luzmila Carpio - Wawakunaq kusiynin (les enfants)
Skinshape & Pedro Mizutani - Chorar (instrumental)
Dowdelin - Boaty cruisy (ate trak music remix)
Isolde Lasoen - Batterie (feat. DAAN)
Frank Leone - Dead right
Jeff Parker & The New Breed - Go away
Itsferry & Raul R Taakin - Life Is good (feat. Saba)
Hubert Felix Thiefaine - Comme un chien dans un cimetière
Gil Scott Heron - The get out of the ghetto blues
Alfredo Rodriguez & Pedrito Martinez - Duologue
Patrice Rushen - Music of the earth
Papooz - It hurts me
Philippe Katerine - Sous mon bob
Francois Lazarevic - Benney side - pour flute et harpe baroque
Aldous Harding - No peace at all
Woody Guthrie - Do re mi
Madeleine Peyroux - Wild card in the hole
Colette Magny - 900 Miles
Smith Bill Quartet - John Henry
Ben Harper - Suzie blue
Paul Mac Cartney & Wings - Bip bop
Alain Souchon - J'ai dix ans
Unessential Oils - Distrust The Magician
Joe Jackson - The uptown train
Brainstory - Nobody but you
John Milk - The Fool (John Milk Disco Reggae Mix)
Abayomy Afrobeat Orquestra - Emi Yaba
Tangoloco - Day tripper
"Eartha Kitt - Yomme, yomme"
France Gall - Ne sois pas si bête
Thomas Lauderdale & The Pilgrims - Night And Day
Sting - Cold song / le roi Arthur : what power art thou (Acte III sc 2) air du génie du froid
"Blaze Foley - Cold, cold world"
Chico Hamilton - Monday monday
Paul Simon - Late in the evening
L'Imperatrice - Danza Marilu (feat. Fabiana Martone)
Daft Punk - Voyager
Potatohead People & De La Soul - Baby got work (feat. Posdnuos & Kapok)
Sade - I couldn't love you more
DJ Harrison - IGY
Final Spank Happy - Alien sex friend
Tim Bernardes - Falta
Leon Fleisher - Sonate pour piano n°13 en La Maj op posth 120 D 664 : 1. Allegro moderato
Cocorosie - Beautiful boyz
Camille - Tout dit
Portico Quartet - Too many cooks
Bob Marley - One love / people get ready
Khruangbin - Todavia viva
Hermanos Gutierrez - Abuelita
Nat King Cole - Acercate mas (come closer to me)
Nathalie Stutzmann - L'Atenaide RV 702 : Cor mio che prigion sei (Acte III Sc 8) Air de Marziano
Joachim Horsley - Vodou Moldau
Claude Nougaro - Herbie hancock
Us3 - Cantaloop 2004 (bossa mix)
Armando Trovajoli - Profumo di donna : Woman's parfume
Curtis Mayfield - It's alright
Eels - All The Beautiful Things
Yasmin Williams - After the storm
Machinedrum - Kill_U (feat. Tanerélle)
Thom Yorke - The eraser
Park Jiha - A day in...
Yann Tiersen - Rue des cascades
Astrud Gilberto - I haven't got anything better to do
Les Jelly Roll - Je travaille à la caisse
Dj Elohim - A pulga do rato
Zapp - I can make you dance
2pac - California love (original version)
Dr. John - That old black magic
San Proper - Hubris : Dr. Proper
Zenzile - Gran Torino
U-Brown - Rock to the rhythm
Pierre Vassiliu - Ne me laisse pas
Lewis OfMan - Caballero
Crumb - From outside a window sill
Tony Allen - Oladipo
Buddy Rich - The Beat Goes On
Fats Domino - Let the four winds blow
Loretta Lynn - I'm a honky tonk girl
Faye Webster - Wrong people
Yin Yin - Kroy wen
Munya - Trop tard
Sinead Harnett - Where you been hiding
Angela Gheorghiu - Gianni Schicchi : O mio babbino caro (Air de Lauretta)
The Supremes - Ask any girl
Burt Bacharach - Casino royale : Gymnasium training
Lorna Bennett - Chapel of love
Tabu Ley Rochereau - King sa
The Green Arrows - No delay
Mac Demarco - Dreaming
Carole King - It's too late
Lake - Crying room
Lossapardo - Un peu de lumie`re
Kim Giani - Doux l'indigo
Futuro Pelo - Urt
Telepopmusik - Breathe
Moodymann - I need you so much
Annie Ross - Limehouse blues
Jonny Teupen Group - Tropical scene
Johnny Guitar Watson - It's about the dollar Bill
Larry Jon Wilson - Life of a good man
Big Mama Thornton - Wade in the water
Finn Rees - End of the line
Kiefer - Everybody loves the sunshine (feat. Theo Croker)
Das Kapital - First light
Amy Gadiaga - Full sun
Zu - Canicula
Ella Fitzgerald - It's too darn hot
Matthis Pascaud Square One - Canicule
Travis Biggs - After the storm
Joe Lee Wilson - Over the rainbow
Khan Jamal - Infinity (feat. Clifton Burton & Sunny Murray)
Rotary Connection - I am the black gold of the sun
John Klemmer - Rose petals
Rosa Brunello - Mother sun
Sun Ra - East of the sun (ovc session)
Frankie Valli & The Four Seasons - Big girls don't cry
Jamie & The Numbers - Boys don't cry
Sai Galaxy - Okere (feat. Bade)
Edouard Benoit - Mauve chauffe
Yummi Wisler Guitar Combo - Sonido amazonico
The Surfing Magazines - You could never come to me too soon
The Mac Coys - Hang on Sloopy
Lord Echo - Note from home (feat. Toby Laing)
The Sindecut & Ijeoma - Cool your head
Billy Cobham - Stratus
Jimmy Hunt - Nos corps
Iron And Wine And Ben Bridwell - Am I a good man
Maiiah & Angels Of Libra - I'm a good woman
Secret Night Gang - When will the sun rise again
Jacques Loussier - Nocturne no. 1 in b-flat minor op. 9 no. 1
Billie Holiday - My man
Joachim Kuhn - Enjoy
Scrimshire - The pile (feat. Cleveland Watkiss) (acoustic version)
Jordan Rakei - Forgive
Le Commandant Couche-Tot Et Son Magnifique Orchestre De Claviers - S.O.S.
France Gall - Laisse tomber les filles
Jackie Ross - Selfish one
Rejjie Snow - Cookie chips (feat. MF Doom & Cam O'bi)
Soothsayers - No sacrifice (Dutchie remix)
Dj Dolores - A espuma dos dias (l'écume de nous)
Gilberto Gil - Cérebro electrônico
Brainbox - Down man
Vampire Weekend - Pravda
Thomas Enhco - Miroirs
Louis-Jean Cormier - La photo
Ella Fitzgerald - Dream a little dream of me
Kiefer - Dreamer
Pip Millett - Enough for you
Medline - Everybody loves the sunshine
Belle And Sebastian - Song for sunshine
Sharon Tandy - Daughter of the sun
Chicory Tip - Son of my father
Prince Fatty Meets The Mutant Hifi - Son of a thousand fathers
Guts - Medewui (Captain Planet Remix)
Haich Ber Na - Sandringham
Gang Of Four - Is it love
Kinny - Afro love forest
Dj Premier - Regeneration
Ensemble Intercontinental - Symphonie n°4 en La Maj op 90 MWV N 16 (Italienne) : 4. Saltarello. Presto
Jacques Helian & Son Orchestre - Tout est tranquille
Nina Hagen - Der Wind hat mir ein Lied erzählt
Peter Schilling - Major tom (coming home)
Alberta - Juste tous les deux
Cosmic Analog Ensemble - Une minuscule effervescence
Ennio Morricone - Il Clan dei siciliani
Robert Finley - Livin out a suitcase
Izo Fitzroy - Small Mercies
Nxworries - 86Sentra
Art Test - The good old days
Firefall - Strange way
Suki Waterhouse - My fun
Francoiz Breut - Lichens
The Mercury Program - Egypt
Gene Harris - I remember summer
Interprete Non Identifie - I do you love
The Staple Singers - The weight
Outlaw Blues Band - Deep gully
Bibi Club - La terre
Tiflis Transit - Things that don't work in rl
King Gizzard & The Lizard Wizard - Catching smoke
Julien Daian Quintet - June dance (feat. Sylvain Gontard)
Jamiroquai - Seven days in sunny june
Laura Veirs - Greens of June
Chiara Mastroianni - La ballade du mois de juin
Sven Libaek - Nature waltz
Sam Cooke - Just for you
Fugees - A change is gonna come (live from BBC / Radio 1) [bonus track]
"Arooj Aftab - Last night (reprise) (feat. Cautious Clay, Kaki King, Maeve Gilchrist)"
Nujabes - A space in air
Alt-J - Left hand free
The Who - The good's gone
Laura Misch - Slide
Bastien Lallemant & Elisabeth Spettro - Sans vague
"mui zyu - Sparky (feat. Lei, E)"
Angelo Badalamenti - Pretty 50s
Betty Hutton - Orange colored sky
Big Maybelle - Rain down rain
Andreas Ottensamer - Danse hongroise en La Maj WoO 1 n°7 - arrangement pour clarinette 2 violons alto violoncelle contrebasse et cimbalon
Meskerem Mees - Where I'm from
Federale - The ascent
Milva - Chi mai
Francoise Hardy - Rêver le nez en l'air
Emiliana Torrini - Miss flower
