UFO - Lipstick traces
The 13th Floor Elevators - You're gonna miss me
Ural Thomas & The Pain - El eey em eh
"Jean Carne, Adrian Younge & Ali Shaheed Muhammad - My mystic life"
Mulatu Astatke & Hoodna Orchestra - Major
Pale Jay - Baby
Chi-Lites - Are you my woman? (Tell me so)
Feist - One Evening
Khruangbin - Three from two
Polo & Pan - Nenuphar
Balthazar - Hourglass
Haley Heynderickx - Oom sha la la
Gaspard Night - Force fields
"Kondi Band - Got no money, I want you"
PM Warson - Losing and winning
Liza Minnelli - Use me
Chanel Beads - Your day will come
Klo Pelgag - Le goût des mangues
Astral Bakers - Beautiful everything
Dekker - A sparrow perched beside a drain
Norman Blake - I am a man of constant sorrow (instrumental)
Murray Head - When i'm yours
Deniece Williams - Slip away
The Gimmicks - California soul
Flora Papadopoulos - Sonate pour violon et basse continue en Fa Maj op 5 n°10 : 2. Allemande - arrangement pour harpe
Sarah Vaughan - Sneakin' up on you
Charlotte Planchou - Mon amant de Saint-Jean
Tiago Caetano - Percepção
Marisa Anderson - Waking
The Beach Boys - Then i kissed her
Olivier Rocabois - The Sound Of The Waves
Catherine Deneuve - Digital delay
Bastien Keb - Stillmore
Ben L'Oncle Soul - Say You'Ll Be There
Julie London - I'm in the mood for love
Will Samson - Tumble
Warhaus - No surprise
Buffalo Springfield - For what it's worth
Risa Minami - Jamaican blue
Jazz Jamaica - Double barrel
The Police - Masoko tanga
La Femme - My generation
Jacques - Avec les mots
Air - Crickets
Dinah Washington - Bargain day
Mel Torme - Too darn hot
Homeboy Sandman - The big band theory
Sven Wunder - Take a break
Sixto Rodriguez - Sugar man
Jessica Pratt - World on a string
Jeanne Moreau - On dit que je ne suis pas sage
Shay Hazan - A bite of sand
Fantastic Negrito - Transgender biscuits
Roseaux & Melissa Laveaux - Why Should I Smile
Ezechiel Pailhes - Octobre
"Anna Bonitatibus - La partenza """"""""Les soirées musicales"""""""" - canzone pour mezzo-soprano et piano"
Yma Sumac - Jungla
Kelly Finnigan - Be your own shelter
The Frightnrs - Profilin (version)
The Beatles - Savoy truffle
The Cars - Good times roll
Kim Deal - Crystal breath
The Dave Pike Set - Inside crime
Renata E Flavio - O bofe : fala dorival
Clea Vincent - Ton voyage est fini
Deux - Felicita
Giorgio Moroder - Utopia - Me Giorgio
Panda Bear & Sonic Boom - Gettin' to the point
Blur - Yuko and hiro
Marianne Faithfull - As tears go by
Don Gibson - Oh lonesome me
Orchestre Symphonique De La Radio De Leipzig - Aguas de Amazonia : Japura river
"Melaaz - Non, non, non"
Big Daddy Kane - Git bizzy
Nico Gomez And His Afro Percussion Inc. - El condor pasa
The Offline - Le long de la rive
Norah Jane & Mor.Lov - Courtesy
Rosalia De Souza - Maria moita (Zero dB mix)
Astrud Gilberto - Agua de beber
The Cromagnon Band - Wilderland
The Liminanas - Nuit fantôme
Mack Rice - Three People In Love
Ethel Beatty - It's Your Love
Oscar Peterson - A fine romance
Kate Bollinger - In a smile
Christopher Cross - Ride like the wind
Koji Ono - So high
95 North - Unbelievable (Moncef's unbelievably raw mix)
Francoiz Breut - Gazons et chatoiements
Orchestre Symphonique De La Ville De Birmingham - Fanfares : Tromba lontana
Creedence Clearwater Revival - Born on the bayou
Yvonne Elliman - I can't explain
The Oscillators - Flip flap
Enchantee Julia - Save me
"A$ap Rocky - Everyday (feat. Rod Stewart, Miguel & Mark Ronson)"
Charlie Musselwhite - Christo redemptor
Jimi Hendrix - Red house
Mira Lu Kovacs - I care for you
Thomas Newman - Dead already
FFF - Wreye sem
Dr Buzzard S Original Savannah Band - Sunshower
Laufey - Bewitched
Barton Jamie - Ma sorcière bien-aimée
Housepainters - Enfin
Richenel - Gentle friend
Salsoul Orchestra - Getaway
Bibi Flash - Histoired'1 soir
Pearl & The Oysters - Treasure island
World Brain - Minute papillon
Quincy Jones - Soul saga (song of the buffalo soldier)
Lonnie Liston Smith - Space Lady
Jamiroquai - Just another story
Voilaaa - Too young to die (feat. Olivya)
Sons Of Zoku - Yumi
Francois And The Atlas Mountains - Jeans
Fool's Gold - Devotion
Tortoise - Tesseract
Joan As Police Woman - Violent dove
Flavien Berger - Beta
Taggy Matcher - Watermelon Man (Taggy Matcher Disco Mix)
"Toots And The Maytals - Louie, louie"
Aretha Franklin - Rock steady (alternate mix)
Nujabes - Lady Brown (feat. Cise Starr)
Reef - Place your hands
Karate Boogaloo - Family song (sing-a-long)
Nicolas Michaux - Chaleur humaine
Ezra Collective - No one's watching me (feat. Olivia Dean)
Tim Maia - No caminho do bem
Antonio Carlos Jobim - Stone flower
Claude Nougaro - Bidonville
Great Speckled Bird - Long long time to get old
Blitzen Trapper - Requiem
Laena Myers - Strong
Yin Yin - Tam Tam
Saigon Soul Revival - Sac hoa Cuoc Song
Bobby Oroza - Falling in love
Yvonne Fair - I Found You
Duke Ellington & His Orchestra - No regrets
Snorre Kirk - Honey (feat. Alexander Honey Boulton)
Francesco Bearzatti & Federico Casagrande - Winter Blossom
Ella Fitzgerald & Joe Pass - Nature boy
Adele Viret Quartet - Choral for the sea
Norma Winstone & Kit Downes - Rowing home
Jack Dejohnette - Woodstock
Max Roach - Deeds not words
Marion Brown - Visions
Joachim Kuhn - Purple Rain
James Elmore - The sun is shining (alt.)
The Red Barn - Wrangler
Gurls - Dis boy
David Krakauer - La vita è bella
Ze Nigro - Gorjeios (feat. Arthur Verocai)
Prince - The ballad of Dorothy Parker
Trio SR9 - Super rich kids (feat. Malik Djoudi)
Cosmo Sheldrake - Mangroves
Alain Bashung - J'ai longtemps contemplé
Portishead - Western eyes
