Molly Lewis - Sonny
Aretha Franklin - What a diff'rence a day made
Electric Light Orchestra - Livin' thing
The Winston Brothers - Metering
Lee Fields & The Expressions - You’re what’s needed in my life
Lynn - J'aime pas le goût
Lord Apex & Madlib - The good fight
Dexter Story - Xamar
Lynyrd Skynyrd - Sweet home Alabama
Christine Perfect - Let me go (Leave me alone)
Session Victim - Jazzbeat 08
Nicola Conte - Flying circles
Les Mamans Du Congo & Rrobin - Ntima
L - La boîte à musique
Althea & Donna - Uptown top ranking
Tommy Guerrero - Abierto
Angelica Garcia - Juanita
Maria Chiara Argiro - Closer
Led Zeppelin - When the levee breaks
Rosie Lowe - Pharoah
Les Louanges - Dm's
Martha Argerich - 5 Stücke im Volkston op 102 : 2. Langsam - pour violoncelle et piano
Anita O Day - We'll be together again
Donna Brooks - Full Moon and empty arms
Aoife Nessa Frances - Back to Earth
Telex - Rendez-vous dans l'espace
Yan Tregger - Girls will be girls
Blur - Girls & Boys
Prince - Girls and boys
Me And My Friends - Before I saw the sea
Godiego - Ame wa knife no yo sa
Jamiroquai - Cosmic girl
Jasual Cazz - Double comète
Cotonete - Day in day out (art of tones remix)
Voilaaa - Et toi tu crois [feat. Hawa & Fouley Badiaga]
Vampire Weekend - Mansard roof
Michel Polnareff - La Folie des grandeurs
The Last Shadow Puppets - The age of the understatement
Joe Dassin - Dans les yeux d'Emilie
Fred Pallem & Le Sacre Du Tympan - Bitches en marbella
The Black Angels - Firefly
Rahill - Gone astray
Daniel Villarreal - Salute
Lou Reed - Walk on the wild side
Gal Costa - Baby
Antonio Carlos Jobim - Brazil (alternate take)
Matthew E. White - Signature move
Outkast - Ms. Jackson
Choeur De L'Opera Royal De Cour De Berlin - Lohengrin WWV 75 : Treulich geführt ziehet dahin (Acte III Sc 1) Choeur - pour choeur mixte et piano
Frank Sinatra - Love and marriage
James Carpenter - (Marriage Is Only) A State Of Mind
Adrian Younge - Sunflowers (Instrumental) (feat. Roy Ayers)
"Oan Kim (Compositeur, Saxophone, Piano, Claviers, Voix) - Bardo"
Elisapie - Isumagijunnaitaungituq (The unforgiven)
Asta Hiroki - Air
Beth Gibbons - Floating on a moment (radio edit)
Isaac Delusion - Lost And Found
Air - Highschool lover (theme from the virgin suicides)
Alain Bashung - Malaxe
Sneaker Pimps - 6 underground
Oddisee - Right side of the bed
Al Quetz & El Tipo Este - Tu verá
Enchantee Julia - Sois pas pressé
Joan As Police Woman - The classic
Horace Silver - Blowin' the blues away
Hoagy Carmichael - Lazy river
Sinclair - La flemme
Luther Vandross - Never too much
Claudja Barry - Love for the sake of love
Loving - Gift
Arman Melies - La fugue
Rabii Harnoune & V.B. Kuhl - Yomali
Oum - Whowa
Jean Pierre Rampal - Concerto en Sol Maj pour flute et orchestre : Allegro ma non troppo
Marie Mifsud - Taon des pluies
Jimi Hendrix - One rainy wish
Pat Kelly - I wish it would rain
Ruben Gonzalez - La lluvia (descarga)
Mistinguett - Il m'a vue nue
Charles X - The naked you
Melodiesinfonie - Agua salgada (feat. Pedro Mizutani)
The Deirdre Wilson Tabac - I can't keep from crying sometimes
Isolde Lasoen - Bed & breakfast
Mary Pearson - Take five
Crosby Stills Nash And Young - Our House
Gerald Genty - Tralalaponie
Gruff Rhys - Peace signs
Quatuor Volta - Quatuor à cordes n°3 en Sol Maj K 156 : Adagio
Gaye Su Akyol - Akil olmayinca
Frankie Laine - Don't make my baby blue
The Drifters - Save The Last Dance For Me
Fanou Torracinta - Minor swing
Yuri Buenaventura - Paname
"Fred Astaire - Funny face : Bonjour, Paris"
"Destiny's Child - Bills, bills, bills"
Vincil From Ummo - Ephémère accalmie
The Barking Spiders - Wasted Words
Lady Wray - Come on in (les imprimés remix)
Espen Horne - Bergen sunrays (feat. Selim Mutic)
Hany Mehanna - Al qina' al za'ef
Lili Boniche - Elle est partie
Chris Ballew - Empty boat
Nita Rita And Ruby - Rock love
Damon - Funky funky blues
Little Barrie - Stones throw instrumental
The Poets Of Rhythm - Upper class
Barrabas - Chicco
Marion Rampal - Oizeau
