Thomas Mayeras - Bluegaloo
Leon Thomas - L-o-V-e
Iogi - We can be friends
Toots Thielemans - Visao
Bebel Gilberto - Desafinado
Michael Head & The Red Elastic Band - Pretty child
Blur - My terracotta heart
Ugo Orlandi - Concerto en la min op 144 : Largo - pour mandoline et orchestre a plectre
Féloche & The Mandolin' Orchestra - Mes petites amoureuses
The Dead South - Keep on the sunny side
Judee Sill - Crayon angels
The Greg Foat Group - Dark is the sun part 1 (main theme)
Marie Queenie Lyons - Fever
Robin McKelle - Walk on by
Doja Cat - Paint the town red
Hlmnsra - Mind at ease
Lianne La Havas - Night school
Camille - Sous le sable
Air - African velvet
Boy-Nze Na Maqueens - I'smodeni
Paul Simon - Gumboots
Eddie Chacon - Holy hell
Jimi Prasad Orchestra - Garden walk
Chet Baker - How deep is the ocean?
Robin Mansanti - L'étang
William Tyler - Alpine star
Tracy Chapman - Talkin' bout a revolution
The Teskey Brothers - Oceans of emotions
Otis Redding - Stand By Me
"Alban Claudin (Compositeur, Piano) - Never ending"
Ibrahim Ferrer - Que Bueno Baila usted
Digable Planets - The may 4th movement starring doodlebug
Erobique - Acquamarina
Scott Walker - Butterfly
Louis Chedid - Hold up
Woo - Glip glop
Death And Vanilla - Transparent things
Sebastien Tellier - Roche
Solange - I decided (produit par The Neptunes)
Charles Wright Ant The Watts 103rd Street Rhythm Band - Spreadin' honey
Elton John - Grey seal
Immy Owusu - Sunsum dware
Lala & Ce - Fallait dire non
Lucho Gavilanes - La danza del mono
The Zombies - What more can i do
The Lemon Twigs - Everything harmony
Alabaster DePlume - Who is a fool
Blue Lake - Fur
Tennessie Ernie Ford - Sixteen Tons
Derya Yildirim & Graham Mushnik - Ilgaz
Leonard Cohen - Dance me to the end of love
Dominique A - L'adversité
Whatitdo Archive Group - Astral-desia
The Electric Prunes - Holy are you
Frank Ocean - Thinkin bout you
Joe Yorke & The Co-Operators - No good for me
Nico Motte - B.B.D.C
Dorothy Ashby - Dust
Julien Daian Quintet - Trop c'est trop
Pira Pora - Mi nina
Tilman Hoppstock - 5 préludes : Prélude n°5 en Ré Maj -  pour guitare acoustique
The Smiths - Ask
Girl Ray - Up
Daft Punk - Get Lucky (Radio Edit)
Surprise Chef - Money music
Yussef Dayes - Womans touch (feat. Jamilah Barry)
Bebe - Tenta me entender
Ned Doheny - Get It Up For Love
Bon Voyage Organisation - Les pêcheurs
Xavier Plumas - Autre lieu
Jonnine - I put a little thing in your pocket
Tori - Eco
Stan Getz - O Grande Amor
Tim Buckley - Phantasmagoria in two
Jeff Buckley - Last goodbye
Lavinia Meijer - 2 danses L 103 : Danse profane - pour harpe et orchestre à cordes
Curtis Mayfield - You're so good to me
Keyon Harrold - Pictures
Fruit Distro Collective - Balance in all things
Julien Baer - Drole de situation
The Rolling Stones - Live with me
BB King - Calypso jazz
Public Enemy - Give it up
Bob Marley - Waiting in vain
Voyou - Bal fantôme
Ariel Tintar - Missie´ Bolo
Metronomy - Walking in the dark
Roisin Murphy - The house
Non Identifie - Blanche-Neige et les sept nains : Comme une maison de poupée
Siouxsie And The Banshees - Happy house
Laetitia Sadier - Depuis le centre du coeur
Anna Butterss - Doo Wop
Herbie Hancock - Spiraling prism
Sababa 5 & Canay - Bigâne
A. Billi Free & Tensei - Feel it coming
George Gershwin - Novelette in fourths
Randy Newman - Baltimore
Donny Hathaway - Lord help me
Kiledjian - Dlo (feat. Celia Wa)
Hampshire & Foat - Galaxies like grains of sand
Alain Bashung - Marilou sous la neige
Wasis Diop - DéFaal lu wor (Once in a lifetime)
Arcade Fire - Unconditional II (race and religion)
Kyoto Jazz Massive - Nacer do sol
Joey Valence & Brae - Dance now
"Ernestine Anderson - Mercy, mercy, mercy"
Barefoot Jerry - Message
VELVET UNDERGROUND - VENUS IN FURS
Burt Bacharach - The look of love
Julien Gasc - La scie de la vision moderne
Pinkpantheress - Nineteen
Joe Hisaishi - Ponyo sur la falaise : Umi no okasan
Gypsy Blood - Sugishi hi wo mitsumete
Yin Yin - The year of the rabbit
Les Clopes - Actualisation
Orchestral Manoeuvres In The Dark - Enola gay
Horace Ferguson - Tickle me
Ibibio Sound Machine - I'm running
Lekan Animashaun - Se Rere
Roy Ayers & Adrian Younge & Ali Shaheed Muhammad - Gravity
Blossom Dearie - Somebody new
Clairo - Pretty girl
Jonathan Wilson - Hey love
Orchestre Symphonique Du Wdr De Cologne - 8 variations pour orchestre en Si bémol Maj sur un thème de Joseph Haydn op 56a : Thème (Choral Saint Antoni)
Michel Polnareff - Holidays
Eric Andersen - Can't get you out of my life
Freddie Mac Gregor - I don't know
Katy Kirby - Drop dead
Apollo Brown - Blue ruby
Souls Of Mischief - 93 'Til Infinity
DIDO - I'm no angel
The Pogues - Dirty old town
Alvin Youngblood Hart - Ouachita run
Stonewall Jackson - I washed my hands in Muddy Water
Muddy Waters - Blind man blues
Curtis Harding - On and on (édit)
Gougoush - Retour de la ville
Beat Bronco Organ Trio - Easy baby
Sam Burton - My love
David Bowie - Velvet goldmine
Les McCann - Benjamin (LP Version)
Funk Factory - Rien ne va plus
Dizzy Gillespie - Dizzier and dizzier
Clifford Jordan - Drink plenty water and walk slow
Shake Stew - Not water but rest
RADIO CITIZEN - RADIO CITIZEN / KANTINE
BILL EVANS - BILL EVANS / TOMATO KISS
Geraldine Laurent - Cooking
Margie Day - Wine in the wind
JOHN LEE HOOKER - JOHN LEE HOOKER / ONE BOURBON ONE SCOTCH ONE BEER
WAYMAN TISDALE - WAYMAN TISDALE / POWER FORWARD
Christophe Imbs - The art of skipping rope
Stan Getz - Tonight i shall sleep with a smile on my face
Abdullah Ibrahim - Maraba
Jah Jazz Orchestra - Fools rush in
BOB MARLEY - DISCOMOBILE / BOB MARLEY
Lenny Kravitz - Believe
"Seu Jorge - Cala boca, menino"
Alexandre Desplat - Asteroid City : Special Seminar at the Playwright's Request (Saltzburg Keitel's Classroom)
Haim - Lost Track
Sufjan Stevens - Chicago
Duval Timothy - Next tomorrow
Waltel Branco - Luar do Sertao
Boards Of Canada - Julie and Candy
Melonyx - At the door
Corine - Orage
Oldu O Zaman - Sigarasi yaldizli
John Coltrane & Johnny Hartman - My one and only love
Sunking - Natural monopoly
Ryuichi Sakamoto - Tango
Marlena Shaw - Last tango in Paris
Orchestre De Concert De La BBC - Blue tango
Kyo Itachi - 99 en peuf (feat. Alpha Wann)
Nat King Cole - Suas maos
Kyo Itachi - 99 en peuf (feat. Alpha Wann)
Prince - Love 2 the 9's
Kendrick Lamar - These walls
Bjorn Meyer - Provenance
Lonnie Holley - Testing
Henri Salvador - Un jour mon prince viendra
The Shadows - Little princess
Shintaro Sakamoto - Let's dance raw
Parliament - Unfunky ufo
Common - Living for the Chi-City
Boards Of Canada - Julie and Candy
"Lee 'Scratch"""""""" Perry & Adrian Sherwood - Yellow fever"
Kamal Tarbas - Min ozzalna seebak seeb (Forget those that divide us)
Natacha Atlas - (It's a man's man's) Man's world
Brandon Coleman - Resistance
"Joe Hisaishi (Compositeur, Chef d'orchestre, Piano) - Le garçon et le héron : Ask me why (evacuation)"
Boards Of Canada - Julie and Candy
The Avalanches - Saturday night inside out
Lonnie Liston Smith - Colors of the rainbow
Bada Bada - Portraits
Jonsi - Boy lilikoi
Loney Dear - Distant
Elmiene - Mama
Bill Laurance - Everything exists
Veronique Sanson - Bahia
