Nujabes - Prayer
Mulatu Astatke - Kasalefkut-hulu
Marvin Gaye - Inner city blues (make me wanna holler)
Matumbi - Guide us jah
Fairport Convention - Autopsy
Laura Cahen - La fièvre noire
Julius Katchen - Danse hongroise nº20 en mi min pour piano a 4 mains
Carmen McRae - East of the sun
Nourished By Time - Soap party
Brian Lopez - Black Mountain
Quilt - The world is flat
Alabama 3 - Woke up this morning (Chosen one mix)
Marvin Pontiac - Arms & legs
Delgres - Assez assez
Lynn Taitt - Steppin' up
Manu Dibango - Peaceful homeland
Gil Scott-Heron - Angel dust
Izo Fitzroy - Somewhere beyond the wreckage
G Love - Smoke it (instrumental)
Waylon Jennings - The conversation
Barefoot Jerry - Hospitality song
Monokini - Tu avais raison
Marcia Griffiths - Tell me now
Charlie Parker - Milestones
Tony Bennett - I left my heart in San Francisco
Revue Blanche - 6 Poèmes de Paul Eluard : 1. Je te l'ai dit - arrangement pour soprano flûte traversière alto et harpe
Diana Ross - Love hangover
Lipphead - Midnight brain to Georgia
Alcynoos & Parental - Forsake
Rejjie Snow - Mon Amour
L - La boîte à musique
Grace Jones - Nightclubbing
Rubin Steiner & The Dictaphone - Coume couma
Little Stevie Wonder - Castles in the sand
Koop - Koop Island blues
Shawn Lee's Ping Pong Orchestra - Out of time
Chico Buarque - Sonho de um carnaval
Barbatuques - Samba lélé
"Lakou Mizik - Iko kreyòl (feat. Win butler, Régine Chassagne, Preservation Hall jazz Band & 79rs gang)"
Hollywood Studio Symphonie - Rio 2 : Batucada pagode (feat. Carlinhos Brown)
Klim Beats - Memories don't die
Francoise Hardy - Tous mes souvenirs me tuent
The Moldy Peaches - Anyone Else But You (Original Version)
"Martin Lohr - 3 Fantasiestücke op 73 : 2. Lebhaft, leicht - arrangement pour violoncelle et harpe"
Taj Mahal - Atlanta kaira
Izem - Leba
David Axelrod - The school boy
Nirvana - Plateau
James Bynum - We are in need
Le Bingo - Stratus & cumulus
Jesse Harris - The wind in the clouds (feat. Jesse Harris)
Cristina Branco - Rio de nuvens VIII
Tristan De Liege - Arum (feat. Fabiano do Nascimento)
Janelle Monae - Float (feat. Seun Kuti & Egypt 80)
The Rolling Stones - She's a rainbow
Pachyman - Dub fellowship
Abracadabra - impactor
Martha Da'Ro - Mr Fear
Haziz - Dmaot
Thom Yorke - The eraser
Malik Djoudi - Cinema
Bo/Une Histoire Vraie - Rose's theme
Omara Portuondo - La sitiera
Sarah Vaughan - The more I see you
Quatuor Ebene - Quintette à cordes n°3 en Ut Maj K 515 : 2. Menuetto - Trio
Patrick Watson - Beijing
Yves Montand - A Bicyclette
Fats Domino - Rockin' bicycle
Vulfpeck - A walk to remember
Sharon Jones - Be easy
Elza Soares - Devagar com a louça
Melody Gardot - C'est magnifique
Bonnie Prince Billy - Bananas
Reuben James - Ruby smiles
Eartha Kitt - I've got you under my skin (Born to dance)
Christy Romano - Chiquita banana
Espen Horne - Don't fall asleep (feat. Faye Houston)
Selman Faris - Ouvertur
Why Bonnie - Galveston
The Beatles - Love you to
Les Rita Mitsouko - Toi & moi & elle
Quatuor Sonic Art - Mishima (film) : Quatuor à cordes n°3 : Mishima Closing - arrangement pour 4 saxophones
The Meltdown - An open heart
Keziah Jones - Beautiful Emilie
"Jorge Ben Jor - Mas, que  nada"
Bert Jansch - Tic-tocative
Andy Shauf - Dust kids
The Rebels Of Tijuana - Et le blizzard s'estompe (radio edit)
The Harlem Gospel Travelers - Help me to understand
The Blaxound - Laszlo Kovacs
The Drifters - Summer in the city
The Deslondes - Ways & means
Le Couleur - Concorde
Hardkandy - The honed ranger
Dominique Fils-Aime - Being the same
