Fenyan - Pitjé
Robert Glasper & Kaytranada - Thinkin bout you (feat. Talib Kweli)
Maxime Le Forestier - Si tu étais né en mai
Quincy Jones - Main title
Timber Timbre - This low commotion
The Flamingos - I only have eyes for you
Kiledjian - Post Trama
Besouro Mulher - Curto/Tempo
PJ Harvey - Angelene
"Christoph Anselm Noll - Missa sacra en ut min op 147 : 4. Offertorium """"""""tota pulchra / Pour soli choeur et orgue"
Elias Rahbani - Always in my heart
Rachid Taha - Ecoute Moi Camarade (Version Radio)
Yo La Tengo - Our way to fall
Surprise Chef - Over the moon
Sade - Feel no pain
Rickie Lee Jones - Nature boy
John Scofield - Just a girl I used to know
Ben Harper - Satisfied mind
Alain Bashung - Bijou bijou
Rhoda Scott Lady All Stars - R & R
Otis Redding - Mr. Pitiful
Doja Cat - Paint the town red
Armando Trovajoli - Profumo di donna : Woman's parfume
"Tim Maia - Quer queira, que nao queira"
Any Other - Zoe's seeds
Sheku Kanneh Mason - Le Taon op 97a : 10. Nocturne - arrangement pour violoncelle et orchestre à cordes
Braxton Cook - The same
Choses Sauvages - Colosse
The Sorcerers - Summoning the monkey god
Mahmoud Ahmed - Ere mela mela / meche neu
Amy Winehouse - Love Is A Losing Game
Meshell Ndegeocello - Call the tune
Marina Trench - Overcome
A2ele - En secret
Eliza - A tear for the dreadful
Junior M.A.F.I.A. - Get money
See Dee - Slowly
Julie London - Easy to love
Los Zafiros - Mi oración
Loretta Lynn - I'm a honky tonk girl
Paulette Williams - Everyday is the same kind of thing
The Emotions - So I can love you
Woods - The wind again
Stereolab - The man with 100 cells
Kr Nagati - Sidi bou
Aida Nassim - Jari ya hammouda
Schulz Wolfgang - Flute enchantee (la) : Ach ich fuhl's (Acte II) air de pamina
Roger Fakhr - (Such a) trip thru time
The Clash - Rock the casbah
The Commodores - Brick house
Amp Fiddler - Funky monday
Astrolabe Musique & Denzel Macintosh - Monday jam
Oswela - Moun péyi
CAB - To Bâle
Frank Minion - So what
Jeremy Denk - Franc cuer gentil - pour piano
Kcidy - J'ai tant attendu
The Beach Boys - Let the wind blow
Bob Marley - Sun is shining
Amir Bresler - Sol
Blk Odyssy - Pink marmalade (feat. Eimaral Sol)
Pastor T.L. Barrett & The Youth For Christ Choir - Here I am
The Jackson Five - I want you back
Tony Joe White - Studspider
Cornell Dupree - The bird
Elliavir - Endless fascination (part. I)
Clea Vincent - Neuilly
Seu Jorge - Saudosa bahia
Rahill - Futbol
Warpaint - Champion
Baron Retif & Concepcion Perez - Italien chaussettes lin
Sami Galbi - Dakchi hani
Flavien Berger - Feux follets
Return To Forever - Space circus part I & II
Betty Davis - Git in there
Lenny Kravitz - Rock and roll is dead
Songhoy Blues - Soubour
Khruangbin - Mary always
Little Simz - Silhouette
Donald Byrd - Cristo redentor
Freddie Hubbard - Fantasy
Gal Costa - Meu nome e gal
"Cake - Mahna, mahna"
Bill Ryder-Jones - Christinha
Leon Phal - Bongo 113
Madmadmad - Do you
Roisin Murphy - Coocool
Magic Source - Superglider
Black Masters Band - Wonnim a bisa
Boris Gardiner - Happiness is a warm pussin'
Brooklyn Funk Essentials - Blow your brains out
Jasual Cazz - Double comète
Fff - Les magazines
Arctic Monkeys - R U mine ?
Adrian Quesada - The inquisitor
McKinley Dixon - Beloved! paradise ! Jazz ! (feat. Ms. Jaylin Brown)
The Kills - My girls my girls
Les Paul - Caravan
Ted Lucas - Plain & sane & simple melody
Bloom Bat - Holes in my shoes
Voyou - Enfin
Yin Yin - The year of the rabbit
Betty Chung - Bang Bang
Kendra Morris - Wizards float
Arlo Parks - Hope
The Duals - Lover's satellite
Gloria - Gloria's recipe
The Rolling Stones - The spider and the fly
Clint Eastwood - Are you satisfied
Mac Demarco - 20221217 2
Bob Marley - Them belly full (but we hungry)
Gecko Turner - Twenty-twenty vision
M. Ward - Coyote Mary's traveling show
Julian Bream - Prelude n°1 en mi min pour guitare
Karimouche - Firmin
Gotan Project - Tango canción
Ceu - Palhaço
Savarit - Nao sabemos
The Beatles - Ticket to ride
Automatic City - I wish you would
Charlie Winston - In your hands
Keyon Harrold - The Intellectual
Ly Sander - Under the moonlight (feat. Matt Bessa) (long version)
Balthazar - You won't come around
Slackwax - On the road again
Anne Briggs - Highlodge hare (album version)
Marie Urbain - Mon amour mon ami
Aboukir - Last monday
Miriam Makeba - Kutheni sithandwa
Andrew Bird - Make hay
Santana - She's not there
Devendra Banhart - Für Hildegard von Bingen
Bada Bada (Compositeur) - Maria Joao (Album Edit)
Oan Kim - Caravane mélancolique
Charlie Shavers Sextet - Dawn on the desert (feat. Al Collins)
Duke Ellington - Main title and anatomy of a murder
Jack Mcduff - Oblighetto
Antoine Herve - Mysterioso
Alan Pasqua - Highway 14
Herve Samb - The days of wine and roses
Johnny Dyani - Blame it on the boers
Marius Preda - Archibald's Dance
Renaud Garcia-Fons - Film noir blues
Allan Harris - Open up!
Eddie Sauter - Nina never knew
Tim Hagans - 51 West 51st Street
The Smiths - Last night I dreamt that somebody loved me
Georges Blaness - Chanson de Simon
Ichiko Aoba - Kirinakijima
Pink Martini - Finnisma di
Mandrill - Warning blues
The Lijadu Sisters - Life's gone down low
Nino Rota - Sicilian pastorale
Helado Negro - Best for you and me
Ezechiel Pailhes - L'attente
Roman Stewart - Hit song
Black Sabbath - Orchid
Tamikrest - Adounia tabarat
Ann Peebles - Beware
Buddy Greco - Fever
Quantic - Time is the enemy
"Guru - Le bien, le mal (feat. MC Solaar)"
Jupiter & Okwess - Marco
Roni Kaspi - Why does
Chip Wickham - Soho strut
Forever Pavot - Decalco
Al Green - I'm Glad You're Mine
Fat Freddy's Drop - Kamo Kamo
Air - Ce matin la
Nits - The ghost ranch
Céu - 10 contados
Nourished By Time - Daddy
Boards Of Canada - White cyclosa
Taxi Girl - Cherchez le garçon
Francis Bebey - The coffee cola song
Herbie Hancock - Watermelon man
Summer Pearl - Waste your time (bag uh reasons) (feat. Liam Bailey)
Ensemble 415 - Sextuor a cordes en Si bémol Maj : Andantino op 23 n°2
Abraham Battat - Fly away
Edu Lobo - Zum-zum
Francoise Hardy - Cafard
Ensemble 415 - Sextuor a cordes en Si bémol Maj : Andantino op 23 n°2
Mitski - My love mine all mine
Arctic Monkeys - 505
Orchestra Baobab - Ndeleng ndeleng
The Temptations - I can't get next to you
Janko Nilovic - Drug song
Chuck Senrick - Bright face
Lisa Leblanc - Entre toi pi moi pi la corde de bois
Radio Citizen - The hop (feat. Bajka)
Volga - Verejushki
Idles - Grace
Aldo Romano - Annobon
Adriano Celentano - L'unica chance
Count Ossie And The Rasta Family - Africa we want to go
Jeanne Cherhal - Les photos de mariage
Sigur Ros - Samskeyti
Pink Floyd - Grantchester meadows (live 12.05.1969 BBC radio session)
Felbm - Regtur
Aliocha Schneider - Hey Mama
Cat Stevens - Lady d'Arbanville
Hazy Osterwald Jet Set - Swinging London
Marty Paich Big Band - If I were a bell
Chimytina - My universe (feat. Joel Ross)
Ana Carla Maza - Las primaveras
Tommaso Cappellato X Pavimento Fertile - The flow must go on
The Isley Brothers - Harvest for the world
Janis Ian - Society's child
Erik Feller - Toccata en sol min - pour orgue
Brian Lopez - Magic
Ben Harper - Steal my kisses
Ab-Soul - Art of seduction (feat. Ambre)
Bacao Rhythm And Steel Band - Xxplosive
Calypso Rose - Abatina
"Robert Mitchum - I learn a merengue, mama"
Sunshine Makers - Got to be good (feat. Aquakultre)
Bob Marley And The Wailers - Jamming (long ver)
Charlie Parker - Slim's jam
Yvette Giraud - Bonne année
Joseph Washington Jr - New year
Frank Zappa - Bobby Brown goes down
Sababa 5 - Wembley
MC Solaar - Nouveau western
Janet Jackson - My need
Tutankhamun - Garden
Sault - We are the sun
Alban Claudin - Discovery
Hamilton Leithauser - Here they come
Mungo Jerry - Alright alright alright
Cleo - Et moi et toi et soie
Les Agamemnonz - Xiphias
Boris Gardiner - You make me feel brand new
The Temptations - Just my imagination (Running away with me)
Quartetto Italiano - Quatuor a cordes nº13 en re mineur K 173 : Andantino grazioso
Antonio Zambujo - Amapola
Andrew Bird - Inside problems
Kathryn Williams - All apologies
Ben Williams - Smells like teen spirit
Manno Charlemagne - Pot drapo
Bob Dylan - Oxford town
Otis Taylor - 12 feet under
Alain Souchon - J'ai dix ans
The Beatles - Eight days a week
Nicholas Payton - Six
Nicole Willis - My four leaf clover
The Doors - Love me two times
Zero 7 - Futures
Benga - Zero M2
Jimmy Whoo - To the moon
Etienne Daho - Signé kiko
Akiko Yano - Oka wo koete
Quintette Moragues - Pop suite : Ragtime
Blinky - Oh how happy
"Sly5thAve - No. No, No, Pt. 2 (feat. Jonathan Mones)"
James Brown - Soul power
Dj Marky - LK (Carolina carol Bela)
Elisa Jo - But not for me
Catastrophe - Courage (Instrumental)
Romano Bianchi - La même chose
Peter Gabriel - Games without frontiers
Tenor Saw - Ring the alarm
Monty Alexander - Strawberry hill
Don Leisure & Amanda Whiting - Walk with us
Bill Ryder-Jones - If tomorrow starts without me
Gil Scott Heron - I'm new here
Jack Nitzsche - The lonely surfer
The Beach Boys - Sloop John B
Les Gypsys - Prolétaire
Lewis Evans - Father and son
"Camille Berthollet - Concerto en Mi Maj op 8 n°1 RV 269 P 241 (Le printemps) : 3. Allegro - pour violon, cordes et basse continue"
Yasmin Levy - Una ora en la ventana
Jackson Sisters - I believe in miracles
Liam Bailey - Dance with me
The Faithful Brothers - They don't know
Katerine - Des étoiles
Shyheim - Buckwylyn
Lavern Baker - Tiny tim
Maynard Ferguson - Move over
Holly Golightly - The get along
Allah-Las - Pattern
Tim Bernardes - Falta
Maurizio Pollini - Prélude pour piano en ré min op 28 n°24
Claude Nougaro - Le Cinéma
Alfred Newman - Twentieth Century Fox Fanfare
Lulu - The man with the golden gun
The Fugitive Kind - A different man
Warhaus - Popcorn (feat. Sylvie Kreusch)
Mocky - Music brains
Shyguy - I'm so trash
The Chambers Brothers - Uptown
Joe Yorke - Downtown
Los Bilbao - Zelenita del año 2000
Tchico Thicaya - El manicero
Dizzy Gillespie - Tin tin deo
Julie London - Girl talk
"Joe Hisaishi (Compositeur, Chef d'orchestre, Piano) - Le garçon et le héron : Ask me why (evacuation)"
Future Orchestra Classics - Le garçon et le héron : Spinning globe
"Keyon Harrold - Find your peace (feat. Common, Robert Glasper, Jean Baylor)"
Osunlade - Poh's devotion
Ernest Ranglin - In the rain
Fleetwood Mac - Rhiannon
Les Innocents - Petite flamme
Stereolab - Op hop detonation
Jean-Jacques Perrey - E.V.A.
Jacques - Dans la radio
Caroline Polachek - Billions
Olivia Olson - Adventure time : Everything stays (feat. olivia olson)
Norah Jones - Don't know why
Duke Ellington - Blowin' in the wind
Sharon Little - Eddie my love
Carolyn Sullivan - Dead !
Hannah Williams & The Affirmations - Hourglass
Steven Isserlis - Keep the home-fires burning - pour violoncelle des tranchées et piano
Jmsn - Feel Like a Woman
Mj Cole - Sincere (re-cue¿d)
Matias Enaut - Une seconde
Sunflowers - Forest wind (Interrupted)
Rexy - Perfect day
Devo - Working in the coal mine
Charlie Feathers - So ashamed
Theo Lawrence - Now that you're gone
"Stan Getz - Do what you do, do"
Gilberto Gil - Maracatu atômico
Bruno Nunes - Depois da praia
Marc Chantereau - Gibraltar
Syl Johnson - I hear the love shimes
Lonnie Liston Smith - A new spring (feat Loren Oden)
Mercury Rev - Nite and fog
Sebastien Tellier - Aller vers le soleil (Radio edit)
Joel Vandroogenbroeck - Magnetic Blues
Screamin Jay Hawkins - I put a spell on you
Elza Soares - Coração do mar
Any Other - Second Thought
Moondog - Marimba mondo : The rain forest
Marvin Pontiac - Pancakes
Ronnie Walker - Precious
Elaquent - I Made You A Song
Francoiz Breut - Une fissure (feat. Jawhar)
The Strokes - Ask Me Anything
Schntzl - Lindbergh
Domenique Dumont - La Dolce Vita
Claude Vinh San - Maloya
Dressel Amorosi - Skipass
Vladimir Cosma - Airport drinks
Billie Holiday - Tenderly
Elvis Presley - Love me tender
Mounika - Tender love (feat. Ocie Elliott)
The KBCS - I wish you a world of happiness (Instrumental)
Kesmar - Johatsu (Feat. Flore Benguigui)
Michael Miglio - Never gonna let you go
Michael Franks - Jealousy (Geyster remix)
The Ironsides - Ligurian dream
Etta James - At last
Avery Sunshine - I got sunshine
Lambchop - Sunrise
Marine Quemere - Helicoidal
Fanga - Follow me
Adi Oasis - Red to violet
Barry White - I'm Gonna Love You Just A Little More Babe
Katy Kirby - Blue raspberry
Khruangbin - Shades of man
Pedro Miguel Y Sus Maracaibos - Homenaje a Cuba
Tito Puente - Oye como va
Fertile Ground - Another day
Magic Source - Saturn moon dive
Phoenix - If I ever feel better
Freedom Fry - La discothèque
Yin Yin - Komori Uta
Jimmy Smith - Fungii mama
Elia Y Elizabeth - Alegria
Sirens Of Lesbos - How many miles
Balm - Pair of glasses
Baroto - Coast groove
Adriano Celentano - I want to know
Jeanette - L'amour joue au violon
"Weyes Blood - It's not just me, it's everybody"
Art Of Tones Vs Chatobaron - Flight of the comet
Summer Pearl - Not my child
Miramar - Salida
Chavela Vargas - Paloma negra
Rodrigo Y Gabriela - The struggle within
Xavier Plumas - Autre lieu
Alexvndria - Twilight
Aretha Franklin - Spirit in the dark
John Barry & The Seven - Walk don't run
Cigarettes After Sex - Sunsetz
Buttering Trio - Nothing like me
Bakar - Selling biscuits
Orchestre Symphonique De Detroit - Le tombeau de Couperin M 68 : 1. Prélude - version pour orchestre
Christiane Legrand - Peau d'âne : Conseils de la fée des lilas
Dinah Washington - I wanna be loved
Soapkills - Herzan
Kiledjian - Silver Cab
Saturne - Exotica
Marvin Franklin With Kimo And The Guys - Kona winds
Stevie Wonder - You haven't done nothin'
Sly Johnson - New day
Pascal Comelade - Le riffifi brille en jaune
Shir Frum - I'm a lover
