Omar Khorshid - Habibati
Francoise Hardy - Le temps de l'amour
Vampire Weekend - This life
Corto.Alto - Latency
K.O.G - Cry your own
Jean Sebastien Bach (Compositeur) - Suite pour violoncelle n°3 en Ut Maj BWV 1009 : 4. Sarabande - arrangement avec improvisation vocale
Nick Drake - Cello song
Julien Baer - Le monde s'ecroule
"Charles Bradley - Lovin' you , baby"
Youthsayers - Goodnight rico
Joni Mitchell - Car on a Hill
Sergio Mendes & Brasil 66 - Fool on the hill
Project Gemini - The sun devil
Flying Lotus - Garmonbozia
Kadhja Bonet - Remember the rain
Gille'S Peterson'S Havana Cultura Band - Mami
Home Frango - Come again
Peter Cat Recording Co - Foolmuse
Jonny Drop & Andrew Ashong - We are here
Apifera - Beyond the sunrays
Mass Influence - 2tha left (feat. mass influence)
Jerry Reed - Amos moses
"Sharon Jones & The Dap-Kings - Signed, sealed, delivered i'm yours"
Dave Guy - 7th heaven
Elbow - Her to the earth
Lenparrot - Sable (démo)
Shirley Bassey - Spinning wheel
Recording Arts Orchestra Of Los Angeles - Les aventures de Tintin : The duel
Mpb4 - Velas içadas (feat. Ivan Lins)
Tropic Hotel - Vivre une vie sans vivre
Nicaragua - Almost home
Maya Dunietz - Love me tender
Galliano - 57th minute of the 23rd hour
Francis Lai - Un Homme et une Femme (instrumental)
John Cameron - Half forgotten daydreams
Ernest Ranglin - In the rain
Hether - Nature boy
The Marias - Blur
Lava La Rue - Don't come back
Artur Nunes - Kisua ki ngui fuá
Felbm - Tartufai
Forever Pavot - La belle affaire
Beck - Sissyneck
Nahawa Doumbia - Yaala
Ali Farka Touré (Guitare) - Gomni
The Rolling Stones - Miss you
Earl Sweatshirt & The Alchemist - Vin skully
Solange - Stay flo
Sylvain Daniel - Bossa champi
Catherine Deneuve - Digital delay
Serge Gainsbourg - Initials B.B.
Chloe - Someone's calling (chlöe)
Feist - Honey Honey
"Mari Boine - Mu ustit, engeliid sogalas"
Julian Lage - Serenade
Laufey - Second best
Bertrand Belin - Altesse
Eagles - I can't tell you why
Hot Chocolate - So dam funky
D Angelo - Left & Right
"Mos Def - Sun, moon, stars"
Yannis & The Yaw - Walk through fire (feat. Tony Allen)
Tony Allen - Steady tremble
Oumou Sangare - Yere faga
Francis Bebey - Sanza tristesse
The Smile - The Smoke
Mauskovic Dance Band - Zwaar
Arp Frique - Nos magia
Kendrick Lamar - The heart part 5
"Okvsho - """"""""Okusho"""""""""
Roy Ayers - Everybody loves the sunshine
Nino Ferrer - L'an 2000
Lenny Kravitz - Come on and love me
Rahill - Growing pain
Weldon Irvine - What's going on
Céu - Crushinho
DJ Harrison - Lil birdie
Yvnnis - Je(u)
Bobbyy - Future landlords
Sirens Of Lesbos - Candid mess (feat. Joshua Idehen)
The Kills - La hex
Khruangbin - Dern kala
The Royal Sprites - Noom rai por
Pierre Daven-Keller - Jerk (feat. Claire Tillier)
Robert Plant - Bones of Saints
Fruit Bats - See the world by night
The Motifs - Little Things
Blackjoy - La défense
Barbara Lewis - Windmills of your mind
Ben Harper - Yard sale
Mo Kolours - Hold on
Alpacas Collective - What could I do (feat. Geert Claes)
Al Green - I want to hold your hand
Adi Oasis - The Water
Neil Frances - Where I become someone (feat Benny Sings)
Molly Lewis - Dolphinese
Voyou - D'amour et d'insouciance (edit radio)
Bed Maker - Loops/holes
"Cass Elliot - Move in a little closer, baby"
Clear Path Ensemble - Solar eclipse
Laura Cahen - La jetée
Ornette - The lion $ the dall
Maya Hawke - Sweet tooth
David Russell - Suite en Ré Maj CH 14 ( Sonate en Ré Maj CH 14 ) : Courante - version pour guitare
Steven Soles - Shake the duct
Roy Ayers - Synchronize vibration
Arthur H - Petite reine
Fila Brazillia - It loved to happen
Chavela Vargas - Paloma negra
Jen Cloher - Mana takatapui
Moriah Plaza - Teu porto
Art Of Noise - Robinson Crusoe
Etta James - My heart cries
Drugdealer - New fascination
Bob Marley - One love / people get ready
The Sugarman 3 - Love went away
Liz Van Deuq - Jeudi
Aldous Harding - Hunter
Van Morrison - Domino
Immanuel Wilkins - Matte glaze
Duke Ellington - Black brown & beige : Part II
Archie Shepp - Amazing grace
John Coltrane - Impressions
Nina Simone - Mississippi goddam
Sun Ra - Enlightment
The Odean Pope Saxophone Choir - Prince la sha
Kenny Barron - We See
Wynton Marsalis - Freedom is in the trying
Ornette Coleman - Sadness
"Micah Thomas - Ruby, my dear"
Jason Moran - Gangsterism on a lunchtable
Meshell Ndegeocello - Travel
Ornette Coleman - Variants on a theme of John Lewis (Django) : Variant III
Immanuel Wilkins - Everything (feat. Ganavya)
JOHN WILLIAMS - HARRY POTTER A L ECOLE DES SORCIERS : HEDWIG S THEME
France Gall - Le temps de la rentrée
Chuck Berry - School day (ring ring goes the bell)
Theo Champion - Keep your friends alive
The White Stripes - We're going to be friends
Bassekou Kouyate & Ngoni Ba - Jama ko
Toshihiko Sahashi - The classroom is a battlefield
Staatskapelle De Dresde - Missa in angustiis en ré min HOB XXII : 11 : Kyrie / Pour soli choeur et orchestre
Young Mc - Principal's office
Nectar Woode - Good vibrations
Jon Kennedy - Lesson 1
Ici Paris - Maman je n'veux plus aller à l'école
The Falcons - The Teacher
Aldebert - Rock'n roll
Miguel Atwood-Ferguson - Halcyon
Bjork - Gling gló
Milton Nascimento - Minas / Paula E Bebeto
Jacques Brel - Rosa
The Human Studio - Don't be late
Atsuo Fujimoto - Theme of high school student
Janis Joplin - Move over
Mc 5 - High school
Jack Black - Your Head And Your Mind And Your Brain
SVEN KACIREK - SVEN KACIREK / OR OTHER STIRRING OR BORING TALES
Rahill - Haenim
La Femme - Septembre
The Rolling Stones - Paint it black
Red Hot Chili Peppers - Green heaven (Demo version)
