SOUNDIIZ
Fiona Fiasco & Melodiesinfonie - Strong ankles
Salami Rose Joe Louis - Arm fell asleep
Jimi Prasad Orchestra - Adagio non rosso
The Amazing Keystone Big Band - Qui a dit que la curiosité était un vilain defaut
Os Mutantes - Panis et circensis
Pink Floyd - See Emily play
Rob J Madin - Bouquet garni
Mee Shel - Vendredi (feat Tuerie)
Jay-Jay Johanson - Ten little minutes
Lemma Demissew - Lèzèlalèm nuri
Emahoy Tsegue Maryam Guebrou - The mad man's laughter
Alice Clark - I keep it hid
Esperanza Spalding - I know you know
The Marias - Carino
Marvin Gaye - After the Dance (Instrumental)
"Pearl & The Oysters - Together, alone"
Bobby Broom And The Organi Sation - Ode to Billie Joe
Bobby Darin - Sunday in New York
A Song For You - Every moment
Foxwarren - Sleeping
Bruce Cockburn - Bardo Rush
Candice Ivory - World of trouble
Dewolff - Let's stay together
Michael Kiwanuka - Solid ground
The Pro-Teens - The gas face
The Association - Never my love
Oriane Lacaille - Kaf do lo
Fatoumata Diawara - Sete
Jean Du Voyage - Khanti
Harold Butler & The Gold Connection - Fly robin reggae
Ly Sander - Under the moonlight (radio version)
Dekker - The love
The Cromagnon Band - Sky burial
Mel Torme - What is this thing called love
Norah Jones - Paradise
Leon Phal - Idylla (feat. K.O.G)
Theo Champion - Most dreams come false
Balthazar - Hourglass
Nat Myers - Ramble no more
Charley Crockett - After laughter
Felbm - Regtur
"Drift - Working on me (feat. Feist, Philippe Katerine, Jamie Lidell, Benny Sings)"
The Innocence Mission - A different day
Natacha Atlas - Sunshine day
Caixa Cubo - Mancini
Jacob Banks - A tree never waters itself
Bananagun - Out of reach (Maston remix)
Francois & The Atlas Mountains - Tourne autour
Blundetto - Since you've been gone
Rio 18 - She's in L.A.
Labelle - Lady marmalade
Malika - Mashed potato time
Project Gemini - The invitation (Interlude)
"Keren Ann - Hoping for sunshine, preparing for pain"
Joe Satriani - Saying goodbye
Jamie XX - Loud places
Stevie Wonder - Higher Ground
Matt Johnson - In it to win it
Eddie Harris - Listen Here
Mathieu Boogaerts - Tu es
Debbie Gaskin - Pocket pickers
Neil Frances - Dancing
The Surfaris - Wipeout
Eiko Shuri - Yé-yé
Highwaymen - Santiano
Coldplay - Cry cry cry
Glenn Gould - Sonate pour piano n°2 en Fa Maj K 280 : 1. Allegro assai
Barbara - J'ai troqué
Bastien Keb - It would speak
Dana Gavanski - The Wind (Blew You Away)
Saturne - Exotica
Sohn - Lessons
Luiz Eca E Sagrada Familia - Pais tropical
Marathonians - Look in the mirror
Don Leisure - Egg yolk bun
Little Simz - Only (feat. Lydia Kitto)
Burning Spear - Old Marcus Garvey
The Mercators - Aamun sarastus
Fred Pallem & Le Sacre Du Tympan - Chanson de l'odyssée (feat. Julien Gasc)
The Beach Boys - Wild honey
Johnny Dankworth - Return from the ashes
O'Jays - For the love of money
Daft Punk - Doin' it right (feat. Panda Bear)
Eurythmics - Who'S That Girl?
DOMi & JD Beck - Duke
Leo Blomov - As praias do norte
Prosper - Conditions
Supertramp - Your poppa don't mind
"Gary Glitter - Rock and roll, pt. 2"
John Butler Trio - Livin' in the city
Red Hot Chili Peppers - Tippa my tongue
Korea Town Acid - Chasing time
Erik Truffaz - Bending new corners
Chet Baker - My buddy
ZZ Top - Asleep in the desert
Songhoy Blues - Desert melodie
Buttering Trio - Desert dream romance
Brigitte Bardot - Le soleil
Nino Rota - Via veneto
Kali Uchis - All I can say
Gabriel Da Rosa - Menino índio
Jazzanova - Fedime's flight
Plustwo - Melody (1983 club vinyl mix)
Chagrin D'Amour - Chacun fait (c'qui lui plaît) (version single)
Quilt - Eye of the pearl
Lorien Testard - Lumière - Lumière à l’Aube
Janet Baker - Sea pictures op 37 : 2. In haven (Capri)
John Glacier & Sampha - Ocean steppin'
Douvelle19 - Crawl (feat. Sipho)
Resavoir & Matt Gold - Memento
The Beatles - Something
Dennis Harte - Summer's over
Anna Majidson - Bleu
John Williams - Theme From Jurassic park
Eddie Chacon - Good sun
Lonnie Liston Smith - Sunset
Snowpoet - One of those people
Alliance Ethnik - Salsalliancia
Ray Barretto - Pastime paradise
Isabelle Antena - Laying on the sofa (Mark Kamins remix)
Jpye - Oui Non
Lucas Dorado - Lootyogu
The Rongetz Foundation - Optophobia
Steve Turre - Exploration
"Jean Loup Longnon Big Band - Istanbounce, part 1 """"""""Lumières"""""""""
Benjamin Petit - The tale of osemon and scheherazade (long version)
Antonio Carlos Jobim - Chansong
Gabriele Mirabassi - Baião de Lacan
Shai Maestro - All The Things You Are
Chano Dominguez - Drume Negrita
Stan Kenton And His Orchestra - Intermission Riff
Barbara Casini - L'Angelo
Art Pepper - That's love
Tyreek Mcdole - The sun song (precious energy)
Victor Decamp Mundus - Les fauves
Lynyrd Skynyrd - Simple man
Gritz - Bayou country
The Meters - Fire on the Bayou
Adi Oasis - Sérena
Nyron Higor - Estou pensando em você (feat. Johanna)
Portishead - Mysterons
Baron Retif & Concepcion Perez - Italien chaussettes lin
Bonnie Banane - Instant karma
Joan As Police Woman - Damned devotion
Adrian Quesada - Ojos secos (feat. Cuco)
Delvon Lamarr Organ Trio - Careless Whisper
Sirens Of Lesbos - Sweet harmony
Her - Quite like
Charles Bradley - I feel a change
Josephine Baker - Paris Paris
Adrien Soleiman - Panorama
Oklou - Want to wanna come back
Laurent Garnier - Revenge of The LoL Cat (Baron Retif & Concepcion Perez remix)
Ino Casablanca - Racaille
Arthur Fu Bandini - Gober
Aphex Twin - Alberto balsalm
Laura Cahen - Partout
Theodora - Fashion designa
Betty Davis - Game is my middle name
Sly & The Family Stone - Thank you for talkin' to me Africa
Red Hot Chili Peppers - If you have to ask
Meshell Ndegeocello - Atomic dog 2017
JB Dunckel & Jonathan Fitoussi - Iris
Laura Cahen - Les astres
Led Zeppelin - Babe i'm gonna leave you
JB Dunckel & Jonathan Fitoussi - Iris
Laura Cahen - Les astres
Paco De Lucia - Entre dos aguas
Buena Vista Social Club - Candela
Quantic & Nidia Gongora - E ye ye
Oan Kim & The Dirty Jazz - Fight club
Voyou - Et des mandolines
Harry Edison - Witchcraft
Oan Kim & The Dirty Jazz - Fight club
Anthony Strong - The more I see you
Alela Diane - To begin
Tunng - Coat hangers
Peter Cat Recording Co - Control room
Luzmila Carpio - Killpa
Hugh Cornwell - Golden Brown (Mariachi Mexteca Feat . Hugh Cornwell)
Art Longo - Quantum ceviche
Bob Marley & The Wailers - This train (alternate)
Art Tatum - Begin the beguine
Art Longo - Quantum ceviche
Howard Ashman - Arabian nights
Bob Marley & The Wailers - This train (alternate)
Fairouz - Ya ghozayel
Spill Tab - Adore me
